Incident,PERIL,SUBURB,ITEM_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,INCIDENT_DATE_TIME,CLAIM_AMOUNT,ITEM_CATEGORY,ITEM_PERIL_DESCR,SUBURB_RAW,SUBURB_CLEAN,amount_valid,time_reliable,quarantine_reason
INC-8074,Hijack,,Vehicle,TOYOTA,LANDCRUISER 200 V8 4.5D VX A/T-2015-2017,2017.0,2023-07-10 20:44:00,825349.16,Motor Vehicle - Theft,Hijack,,,True,True,missing_suburb
INC-8099,Theft,,Vehicle,TOYOTA,HILUX 2.8 GD-6 RAIDER 4X4 A/T P/U D/C-2020-,2022.0,2023-07-08 13:12:00,846105.99,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8179,Theft,,Vehicle,TOYOTA,ETIOS 1.5 Xs/SPRINT 5Dr-2012-2022,2014.0,2023-06-30 14:24:00,62453.51,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8232,Theft,,Vehicle,FORD,FIESTA 1.0 ECOBOOST TREND 5DR-2013-2018,2014.0,2023-06-24 00:00:00,977.5,Motor Vehicle - Theft,Theft,,,True,False,missing_suburb
INC-8262,Theft,,Vehicle,TOYOTA,FORTUNER 2.4GD-6 R/B-2016-2020,2016.0,2023-06-21 13:04:00,344145.15,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8274,Theft,,Vehicle,KIA,PICANTO 1.2 X-LINE A/T-2021-,2022.0,2023-06-19 15:40:00,5500.27,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8320,Hijack,,Vehicle,FORD,RANGER 2.0D XLT B4 DISC 4X4 A/T P/U D/C-2021-,2023.0,2023-06-14 20:15:00,18123.99,Motor Vehicle - Theft,Hijack,,,True,True,missing_suburb
INC-8403,Theft,,Vehicle,VOLKSWAGEN,POLO 1.0 TSI LIFE DSG-2022-,2022.0,2023-06-05 15:45:00,361400.0,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8406,Theft,,Vehicle,NISSAN,MICRA 1.2 VISIA 5DR (D81)-2011-2014,2014.0,2023-06-05 08:35:00,8837.16,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8435,Theft,,Vehicle,FIAT,500 1.2-2010-2020,2016.0,2023-06-02 17:50:00,4438.0,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8439,Theft,,Vehicle,SUZUKI,S-PRESSO 1.0 GL+ AMT-2020-2023,2022.0,2023-06-02 11:29:00,29286.67,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8446,Theft,,Vehicle,TOYOTA,PRADO VX-L 3.0D A/T-2017-2020,2019.0,2023-06-01 21:56:00,853643.05,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8482,Theft,,Vehicle,MERCEDES-BENZ,AMG C63 S-2019-2022,2021.0,2023-05-28 23:00:00,4319.6,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8487,Theft,,Vehicle,FORD,IKON 1.4 TDCi AMBIENTE-2009-2014,2010.0,2023-05-28 14:35:00,63977.5,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8496,Theft,,Vehicle,BMW,318i A/T (F30)-2015-2020,2018.0,2023-05-27 16:30:00,2000.0,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8530,Theft,,Vehicle,VOLKSWAGEN,T-CROSS 1.0 TSI COMFORTLINE DSG-2019-,2023.0,2023-05-24 21:43:00,27948.08,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8562,Theft,,Contents,,,,2023-05-20 22:00:00,25218.0,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-8673,Theft,,Vehicle,OPEL,CORSA 1.4 SPORT 3Dr-2007-2009,2007.0,2023-05-08 00:36:00,27462.42,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8678,Theft,,Vehicle,BMW,520d M SPORT A/T (G30)-2017-2020,2018.0,2023-05-07 17:17:00,11025.23,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8698,Theft,,Vehicle,VOLKSWAGEN,POLO 1.6 TRENDLINE-2005-2010,2006.0,2023-05-05 21:41:00,11776.39,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8729,Theft,,Vehicle,TOYOTA,FORTUNER 3.0D-4D R/B-2011-2017,2012.0,2023-05-03 01:59:00,309904.61,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
