Incident,PERIL,SUBURB,ITEM_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,INCIDENT_DATE_TIME,CLAIM_AMOUNT,ITEM_CATEGORY,ITEM_PERIL_DESCR,SUBURB_RAW,SUBURB_CLEAN,amount_valid,time_reliable
INC-9888,Theft,LYNNWOOD GLEN,Contents,,,,2023-01-06 11:30:00,16498.0,Home contents - Theft,Theft,LYNNWOOD GLEN,LYNNWOOD GLEN,True,True
INC-9889,Theft,MBOMBELA,Contents,,,,2023-01-06 10:00:00,33080.0,Home contents - Theft,Theft,MBOMBELA,MBOMBELA,True,True
INC-9890,Theft,IVYPARK,Contents,,,,2023-01-06 07:00:55,5246.0,Home contents - Theft,Theft,IVYPARK,IVYPARK,True,True
INC-9891,Theft,THATCHFIELD,Contents,,,,2023-01-06 03:00:53,10000.0,Home contents - Theft,Theft,THATCHFIELD,THATCHFIELD,True,True
INC-9892,Theft,KLOOF,Vehicle,LAND ROVER,RANGE ROVER SPORT 3.0D HSE (190KW)-2018-2023,2021.0,2023-01-06 02:00:00,20000.0,Motor Vehicle - Theft,Theft,KLOOF,KLOOF,True,True
INC-9893,Theft,KLOOF,Contents,,,,2023-01-06 02:00:00,28356.85,Home contents - Theft,Theft,KLOOF,KLOOF,True,True
INC-9894,Theft,GLEN AUSTIN AH,Contents,,,,2023-01-06 00:00:00,17793.95,Home contents - Theft,Theft,GLEN AUSTIN AH,GLEN AUSTIN AH,True,False
INC-9895,Theft,GREEN POINT,Contents,,,,2023-01-05 20:10:00,67067.19,Home contents - Theft,Theft,GREEN POINT,GREEN POINT,True,True
INC-9896,Attempted Theft,GREEN POINT,Contents,,,,2023-01-05 20:00:00,4073.96,Home contents - Theft,Theft,GREEN POINT,GREEN POINT,True,True
INC-9897,Theft,WEST ACRES,Contents,,,,2023-01-05 18:00:00,49492.86,Home contents - Theft,Theft,WEST ACRES,WEST ACRES,True,True
INC-9898,Theft,BIG BAY,Contents,,,,2023-01-05 16:48:00,500.0,Home contents - Theft,Theft,BIG BAY,BIG BAY,True,True
INC-9899,Theft,HYDE PARK,Vehicle,AUDI,Q3 35 TFSI S TRONIC ADVANCED-2019-,2019.0,2023-01-05 14:00:00,29983.0,Motor Vehicle - Theft,Theft,HYDE PARK,HYDE PARK,True,True
INC-9900,Theft,UMHLANGA,Contents,,,,2023-01-05 11:26:00,4560.0,Home contents - Theft,Theft,UMHLANGA,UMHLANGA,True,True
INC-9901,Theft,CENTURION CENTRAL,Contents,,,,2023-01-05 11:00:00,1343.51,Home contents - Theft,Theft,CENTURION CENTRAL,CENTURION CENTRAL,True,True
INC-9902,Theft,FLAMWOOD,Vehicle,TOYOTA,HILUX 2.8 GD-6 RB LEGEND A/T P/U E/CAB-2020-,2020.0,2023-01-05 10:49:00,7864.43,Motor Vehicle - Theft,Theft,FLAMWOOD,FLAMWOOD,True,True
INC-9903,Theft,RANDHART,Contents,,,,2023-01-05 07:42:43,13626.0,Home contents - Theft,Theft,RANDHART,RANDHART,True,True
INC-9904,Theft,SABIE,Contents,,,,2023-01-05 07:30:00,42719.02,Home contents - Theft,Theft,SABIE,SABIE,True,True
INC-9905,Theft,CRESTA,Vehicle,FORD,EVEREST 2.0D BI-TURBO LTD 4X4 A/T-2019-2023,2021.0,2023-01-05 07:00:37,22231.5,Motor Vehicle - Theft,Theft,CRESTA,CRESTA,True,True
INC-9906,Theft,PANORAMA,Contents,,,,2023-01-05 06:00:00,26920.0,Home contents - Theft,Theft,PANORAMA,PANORAMA,True,True
