Incident,PERIL,SUBURB,ITEM_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,INCIDENT_DATE_TIME,CLAIM_AMOUNT,ITEM_CATEGORY,ITEM_PERIL_DESCR,SUBURB_RAW,SUBURB_CLEAN,amount_valid,time_reliable,METRO
INC-1609,Theft,TABLE VIEW,Contents,,,,2025-09-12 15:41:00,19755.28,Home contents - Theft,Theft,TABLE VIEW,TABLE VIEW,True,True,Cape Town
INC-1621,Theft,RONDEBOSCH,Contents,,,,2025-09-10 23:00:00,81578.19,Home contents - Theft,Theft,RONDEBOSCH,RONDEBOSCH,True,True,Cape Town
INC-1629,Theft,BEDFORDVIEW,Contents,,,,2025-09-09 00:00:00,23546.0,Home contents - Theft,Theft,BEDFORDVIEW,BEDFORDVIEW,True,False,Gauteng
INC-1645,Theft,FOURWAYS,Contents,,,,2025-09-06 01:10:00,26441.0,Home contents - Theft,Theft,FOURWAYS,FOURWAYS,True,True,Gauteng
INC-1646,Theft,FOURWAYS,Vehicle,NISSAN,MICRA 900T ACENTA PLUS TECH-2018-2022,2018.0,2025-09-06 01:10:00,3563.24,Motor Vehicle - Theft,Theft,FOURWAYS,FOURWAYS,True,True,Gauteng
INC-1660,Theft,WATERKLOOF RIDGE,Vehicle,AUDI,Q3 2.0 TDI QUATT STRONIC (130KW)-2012-2015,2014.0,2025-09-03 18:54:00,10877.41,Motor Vehicle - Theft,Theft,WATERKLOOF RIDGE,WATERKLOOF RIDGE,True,True,Gauteng
INC-1663,Hijack,CAPE TOWN CITY CENTRE,Vehicle,RENAULT,DUSTER 1.5 dCI DYNAMIQUE-2013-2018,2016.0,2025-09-02 19:20:00,2823.75,Motor Vehicle - Theft,Hijack,CAPE TOWN CITY CENTRE,CAPE TOWN CITY CENTRE,True,True,Cape Town
INC-1674,Theft,GARSFONTEIN,Contents,,,,2025-08-31 14:45:00,29463.99,Home contents - Theft,Theft,GARSFONTEIN,GARSFONTEIN,True,True,Gauteng
INC-1697,Theft,TABLE VIEW,Contents,,,,2025-08-29 03:00:00,15415.0,Home contents - Theft,Theft,TABLE VIEW,TABLE VIEW,True,True,Cape Town
INC-1703,Theft,TABLE VIEW,Contents,,,,2025-08-27 18:00:00,32575.9,Home contents - Theft,Theft,TABLE VIEW,TABLE VIEW,True,True,Cape Town
INC-1704,Theft,SOMERSET WEST,Contents,,,,2025-08-27 16:20:39,16999.0,Home contents - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
INC-1721,Theft,RONDEBOSCH,Vehicle,TOYOTA,VERSO 1.8 TX-2009-2013,2011.0,2025-08-24 04:00:28,5139.65,Motor Vehicle - Theft,Theft,RONDEBOSCH,RONDEBOSCH,True,True,Cape Town
INC-1723,Theft,WATERKLOOF RIDGE,Contents,,,,2025-08-24 01:30:00,152911.85,Home contents - Theft,Theft,WATERKLOOF RIDGE,WATERKLOOF RIDGE,True,True,Gauteng
INC-1728,Theft,FOURWAYS,Vehicle,NISSAN,NAVARA 2.5DDTI PRO-4X 4X4 A/T D/C P/U-2021-,2023.0,2025-08-23 18:15:00,143239.71,Motor Vehicle - Theft,Theft,FOURWAYS,FOURWAYS,True,True,Gauteng
INC-1734,Theft,CLAREMONT,Vehicle,VOLKSWAGEN,POLO VIVO 1.0 TSI GT (5DR)-2017-,2018.0,2025-08-22 23:00:00,26860.61,Motor Vehicle - Theft,Theft,CLAREMONT,CLAREMONT,True,True,Cape Town
INC-1738,Theft,BRYANSTON,Contents,,,,2025-08-22 18:08:00,32913.85,Home contents - Theft,Theft,BRYANSTON,BRYANSTON,True,True,Gauteng
INC-1769,Theft,SEA POINT,Vehicle,FORD,FIGO 1.5Ti VCT AMBIENTE (5DR)-2018-2023,2018.0,2025-08-17 00:12:00,3025.0,Motor Vehicle - Theft,Theft,SEA POINT,SEA POINT,True,True,Cape Town
INC-1774,Theft,SOMERSET WEST,Contents,,,,2025-08-16 02:45:00,69118.9,Home contents - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
INC-1775,Theft,SOMERSET WEST,Vehicle,VOLKSWAGEN,TIGUAN 1.4 TSI R-LINE DSG (110KW)-2021-,2023.0,2025-08-16 02:45:00,1498.74,Motor Vehicle - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
