feature,coefficient,absolute_importance,effect
categorical__VEHICLE_MAKE_ISUZU,-0.877919758152284,0.877919758152284,decreases high-value likelihood
categorical__SUBURB_KEMPTON PARK,-0.8757144177051025,0.8757144177051025,decreases high-value likelihood
categorical__SUBURB_BANTRY BAY,-0.8756898381757472,0.8756898381757472,decreases high-value likelihood
categorical__SUBURB_BULWER,0.8718382900925331,0.8718382900925331,increases high-value likelihood
categorical__SUBURB_CROYDON,0.868393122959258,0.868393122959258,increases high-value likelihood
categorical__SUBURB_PRETORIA CENTRAL,-0.8680613316056606,0.8680613316056606,decreases high-value likelihood
categorical__SUBURB_BOKSBURG,-0.8472802411920799,0.8472802411920799,decreases high-value likelihood
categorical__SUBURB_MALVERN,0.8363579418455834,0.8363579418455834,increases high-value likelihood
categorical__SUBURB_EDENBURG,0.8274438274107369,0.8274438274107369,increases high-value likelihood
categorical__SUBURB_KNYSNA,-0.8267631756767069,0.8267631756767069,decreases high-value likelihood
categorical__VEHICLE_MAKE_CHEVROLET,-0.7978195844836914,0.7978195844836914,decreases high-value likelihood
categorical__SUBURB_GONUBIE,-0.7973647376316461,0.7973647376316461,decreases high-value likelihood
categorical__SUBURB_WIERDAPARK,0.7866989132614994,0.7866989132614994,increases high-value likelihood
categorical__SUBURB_RESERVOIR HILLS,0.7749373827576116,0.7749373827576116,increases high-value likelihood
categorical__PERIL_Hijack,0.7740824834213565,0.7740824834213565,increases high-value likelihood
categorical__ITEM_CATEGORY_UNKNOWN,-0.7727817787828253,0.7727817787828253,decreases high-value likelihood
categorical__ITEM_PERIL_DESCR_Armed Robbery,-0.7727817787828253,0.7727817787828253,decreases high-value likelihood
categorical__ITEM_PERIL_DESCR_Hijack,0.7725875050015973,0.7725875050015973,increases high-value likelihood
categorical__SUBURB_DAWNCLIFFE,0.7717091856479076,0.7717091856479076,increases high-value likelihood
categorical__SUBURB_WEST ACRES,-0.7677819878197601,0.7677819878197601,decreases high-value likelihood
categorical__SUBURB_WATERKLOOF,0.7647463230418495,0.7647463230418495,increases high-value likelihood
categorical__SUBURB_HIGHVELD,0.7646802913262467,0.7646802913262467,increases high-value likelihood
categorical__SUBURB_STRUBENS VALLEY,0.7638042468888797,0.7638042468888797,increases high-value likelihood
categorical__SUBURB_TOKAI,-0.7626534244566985,0.7626534244566985,decreases high-value likelihood
categorical__SUBURB_FLORA PARK,0.7608290414398082,0.7608290414398082,increases high-value likelihood
categorical__VEHICLE_MAKE_JEEP,-0.7550562316236806,0.7550562316236806,decreases high-value likelihood
categorical__SUBURB_PRETORIA WEST,-0.7524738413506752,0.7524738413506752,decreases high-value likelihood
categorical__SUBURB_RADIOKOP,0.7319615638378055,0.7319615638378055,increases high-value likelihood
categorical__SUBURB_RANDPARKRIF,0.7319096858535229,0.7319096858535229,increases high-value likelihood
categorical__SUBURB_STAMFORD HILL,0.7318075712420257,0.7318075712420257,increases high-value likelihood
categorical__SUBURB_ROSEBANK,-0.7240600085657565,0.7240600085657565,decreases high-value likelihood
categorical__SUBURB_SECUNDA,-0.7225519953103064,0.7225519953103064,decreases high-value likelihood
categorical__SUBURB_LANGENHOVEN PARK,0.7170433279824601,0.7170433279824601,increases high-value likelihood
categorical__VEHICLE_MAKE_VOLKSWAGEN,0.7139996878933079,0.7139996878933079,increases high-value likelihood
categorical__VEHICLE_MAKE_HONDA,-0.7085596261370727,0.7085596261370727,decreases high-value likelihood
categorical__SUBURB_VORNA VALLEY,0.7084624547509961,0.7084624547509961,increases high-value likelihood
categorical__SUBURB_KHAYELITSHA,0.7042300901050608,0.7042300901050608,increases high-value likelihood
categorical__SUBURB_SASOLBURG,-0.7022058284527515,0.7022058284527515,decreases high-value likelihood
categorical__SUBURB_MUSGRAVE,0.6988104352821588,0.6988104352821588,increases high-value likelihood
categorical__SUBURB_SUNDOWNER,0.696425881044349,0.696425881044349,increases high-value likelihood
categorical__SUBURB_THREE RIVERS,0.6875309703527744,0.6875309703527744,increases high-value likelihood
categorical__SUBURB_WINDERMERE,0.6829246602789029,0.6829246602789029,increases high-value likelihood
categorical__SUBURB_HONEYDEW,0.6665805816779532,0.6665805816779532,increases high-value likelihood
categorical__SUBURB_PAARL,-0.6653806342700553,0.6653806342700553,decreases high-value likelihood
categorical__SUBURB_SALT ROCK,-0.6575538714979938,0.6575538714979938,decreases high-value likelihood
categorical__SUBURB_MELVILLE,0.651504274516777,0.651504274516777,increases high-value likelihood
