feature,coefficient,absolute_importance,effect
categorical__SUBURB_DAN PIENAAR,-0.16419776056354027,0.16419776056354027,decreases high-value likelihood
categorical__SUBURB_MARLBORO,-0.16349152831505923,0.16349152831505923,decreases high-value likelihood
categorical__VEHICLE_MAKE_VOLVO,0.1624882673815975,0.1624882673815975,increases high-value likelihood
categorical__SUBURB_KLOOF,-0.16119316875361314,0.16119316875361314,decreases high-value likelihood
categorical__VEHICLE_MAKE_LAND ROVER,0.15868969071616285,0.15868969071616285,increases high-value likelihood
categorical__SUBURB_NEWLANDS,0.15629130737569347,0.15629130737569347,increases high-value likelihood
categorical__SUBURB_SYDENHAM,0.15014329142005836,0.15014329142005836,increases high-value likelihood
categorical__SUBURB_FISH HOEK,-0.14608429675631046,0.14608429675631046,decreases high-value likelihood
categorical__SUBURB_POMONA,0.1443553875953338,0.1443553875953338,increases high-value likelihood
categorical__VEHICLE_MAKE_BMW,0.14283804088954424,0.14283804088954424,increases high-value likelihood
categorical__ITEM_CATEGORY_Home contents - Theft,0.14222971274923463,0.14222971274923463,increases high-value likelihood
categorical__SUBURB_OLYMPUS AH,0.1419483740277772,0.1419483740277772,increases high-value likelihood
categorical__SUBURB_WOODMEAD,0.14185993654516899,0.14185993654516899,increases high-value likelihood
categorical__VEHICLE_MAKE_HYUNDAI,-0.14056680844836167,0.14056680844836167,decreases high-value likelihood
categorical__SUBURB_OLIVEDALE,0.14040131818038246,0.14040131818038246,increases high-value likelihood
numeric__INCIDENT_HOUR,0.13984785143454245,0.13984785143454245,increases high-value likelihood
categorical__SUBURB_HELDERVUE,0.13739819325994856,0.13739819325994856,increases high-value likelihood
categorical__SUBURB_HIGHLANDS NORTH,-0.1364784743180075,0.1364784743180075,decreases high-value likelihood
categorical__SUBURB_LANGEBAAN,-0.13558222710146073,0.13558222710146073,decreases high-value likelihood
categorical__SUBURB_FERNDALE,0.1352314954836919,0.1352314954836919,increases high-value likelihood
categorical__SUBURB_WILRO PARK,0.13434584371091973,0.13434584371091973,increases high-value likelihood
categorical__INCIDENT_DAY_NAME_Wednesday,-0.13393787306945532,0.13393787306945532,decreases high-value likelihood
categorical__SUBURB_BRAKPAN,-0.13155686402486982,0.13155686402486982,decreases high-value likelihood
categorical__VEHICLE_MAKE_PEUGEOT,0.13099694185380806,0.13099694185380806,increases high-value likelihood
categorical__VEHICLE_MAKE_RENAULT,-0.13082750708642538,0.13082750708642538,decreases high-value likelihood
categorical__SUBURB_BLOEMFONTEIN,-0.13045502681941323,0.13045502681941323,decreases high-value likelihood
categorical__SUBURB_BROMHOF,0.12971192248521596,0.12971192248521596,increases high-value likelihood
categorical__SUBURB_CARLSWALD AH,-0.1295643743553859,0.1295643743553859,decreases high-value likelihood
categorical__VEHICLE_MAKE_infrequent_sklearn,0.12225184627884816,0.12225184627884816,increases high-value likelihood
categorical__INCIDENT_DAY_NAME_Thursday,-0.11767610603840586,0.11767610603840586,decreases high-value likelihood
categorical__SUBURB_STRAND,-0.11644198613426288,0.11644198613426288,decreases high-value likelihood
categorical__SUBURB_MELROSE,0.11634199023740537,0.11634199023740537,increases high-value likelihood
categorical__SUBURB_NORTH RIDING,-0.11461263961096282,0.11461263961096282,decreases high-value likelihood
categorical__SUBURB_PRETORIA NORTH,-0.10596302049788074,0.10596302049788074,decreases high-value likelihood
categorical__SUBURB_GRASSY PARK,-0.10579307967815905,0.10579307967815905,decreases high-value likelihood
categorical__SUBURB_OBSERVATORY,-0.10470992606103127,0.10470992606103127,decreases high-value likelihood
categorical__SUBURB_TAMBOERSKLOOF,-0.10182436644067412,0.10182436644067412,decreases high-value likelihood
categorical__INCIDENT_DAY_NAME_Monday,-0.10098084404061759,0.10098084404061759,decreases high-value likelihood
categorical__SUBURB_KUILS RIVER,-0.09512569476933808,0.09512569476933808,decreases high-value likelihood
categorical__SUBURB_WENDYWOOD,-0.093669095148777,0.093669095148777,decreases high-value likelihood
categorical__SUBURB_DURBAN CENTRAL,0.09307649838391725,0.09307649838391725,increases high-value likelihood
categorical__SUBURB_NEWTON PARK,-0.08836645494260936,0.08836645494260936,decreases high-value likelihood
categorical__SUBURB_MOWBRAY,0.08751187460470874,0.08751187460470874,increases high-value likelihood
categorical__SUBURB_ELDORAIGNE,-0.08519880357531048,0.08519880357531048,decreases high-value likelihood
categorical__SUBURB_FRANKLIN ROOSEVELT PARK,-0.08419231376985907,0.08419231376985907,decreases high-value likelihood
categorical__SUBURB_HAZELWOOD,0.08244465616654896,0.08244465616654896,increases high-value likelihood
categorical__SUBURB_PARKRAND,-0.08164602865252517,0.08164602865252517,decreases high-value likelihood
categorical__SUBURB_BLOUBERGSTRAND,-0.07592162409018388,0.07592162409018388,decreases high-value likelihood
categorical__SUBURB_ROOIHUISKRAAL,-0.07580590616417238,0.07580590616417238,decreases high-value likelihood
categorical__SUBURB_LITTLE FALLS,0.07557014728944217,0.07557014728944217,increases high-value likelihood
categorical__INCIDENT_DAY_NAME_Sunday,0.07530481008226873,0.07530481008226873,increases high-value likelihood
numeric__INCIDENT_MONTH,0.07480116749945555,0.07480116749945555,increases high-value likelihood
categorical__SUBURB_EVERTON,0.0729504781293948,0.0729504781293948,increases high-value likelihood
categorical__SUBURB_THE REEDS,-0.07236805628497556,0.07236805628497556,decreases high-value likelihood
categorical__SUBURB_SOMERSET WEST,-0.0691730878273488,0.0691730878273488,decreases high-value likelihood
categorical__SUBURB_MONDEOR,-0.06224372790207236,0.06224372790207236,decreases high-value likelihood
categorical__SUBURB_DURBANVILLE,-0.0551109275875253,0.0551109275875253,decreases high-value likelihood
categorical__SUBURB_CLUBVIEW,0.05352522456898649,0.05352522456898649,increases high-value likelihood
categorical__SUBURB_EAST LONDON,-0.05214526252477873,0.05214526252477873,decreases high-value likelihood
categorical__SUBURB_UNKNOWN,0.05064179324910839,0.05064179324910839,increases high-value likelihood
categorical__SUBURB_SUMMERSTRAND,0.049765922935358246,0.049765922935358246,increases high-value likelihood
categorical__ITEM_TYPE_Vehicle,-0.04940074131998806,0.04940074131998806,decreases high-value likelihood
categorical__SUBURB_ELARDUSPARK,0.048736807802950075,0.048736807802950075,increases high-value likelihood
categorical__SUBURB_FLORIDA,0.04738745017994972,0.04738745017994972,increases high-value likelihood
categorical__SUBURB_infrequent_sklearn,0.042501967142623345,0.042501967142623345,increases high-value likelihood
categorical__PERIL_Theft,0.03728307568409221,0.03728307568409221,increases high-value likelihood
categorical__SUBURB_BENDOR,0.036883520918519895,0.036883520918519895,increases high-value likelihood
categorical__SUBURB_EMALAHLENI,-0.0319410147421175,0.0319410147421175,decreases high-value likelihood
categorical__SUBURB_KENILWORTH,0.027679390160965472,0.027679390160965472,increases high-value likelihood
categorical__SUBURB_PANORAMA,0.020995415099219972,0.020995415099219972,increases high-value likelihood
categorical__VEHICLE_MAKE_KIA,-0.020057507436336514,0.020057507436336514,decreases high-value likelihood
categorical__VEHICLE_MAKE_MERCEDES-BENZ,0.012851603111131196,0.012851603111131196,increases high-value likelihood
categorical__SUBURB_BOSKRUIN,-0.011391204983840008,0.011391204983840008,decreases high-value likelihood
categorical__SUBURB_DAWN PARK,-0.009218477074705442,0.009218477074705442,decreases high-value likelihood
categorical__SUBURB_MAYFAIR WEST,0.008907107154202449,0.008907107154202449,increases high-value likelihood
categorical__SUBURB_JOHANNESBURG,0.008592327175622414,0.008592327175622414,increases high-value likelihood
categorical__VEHICLE_MAKE_JAGUAR,-0.007935135912449045,0.007935135912449045,decreases high-value likelihood
categorical__SUBURB_BOTHASIG,-0.006669532622770553,0.006669532622770553,decreases high-value likelihood
categorical__SUBURB_LINDEN,-0.005518884597877498,0.005518884597877498,decreases high-value likelihood
categorical__INCIDENT_DAY_NAME_Friday,0.002766459182364621,0.002766459182364621,increases high-value likelihood
categorical__VEHICLE_MAKE_OPEL,0.0011723558980731143,0.0011723558980731143,increases high-value likelihood
categorical__SUBURB_KIBLER PARK,-0.0008012341703057275,0.0008012341703057275,decreases high-value likelihood
