Police Station,Province,Crime,Year,Incidents
Nelspruit,Mpumalanga,All theft not mentioned elsewhere,2013-2014,1307
Nelspruit,Mpumalanga,All theft not mentioned elsewhere,2014-2015,1309
Nelspruit,Mpumalanga,All theft not mentioned elsewhere,2015-2016,1152
Nelspruit,Mpumalanga,All theft not mentioned elsewhere,2016-2017,1236
Parow,Western Cape,All theft not mentioned elsewhere,2005-2006,2107
Parow,Western Cape,All theft not mentioned elsewhere,2006-2007,2147
Parow,Western Cape,All theft not mentioned elsewhere,2007-2008,2022
Parow,Western Cape,All theft not mentioned elsewhere,2008-2009,1913
Parow,Western Cape,All theft not mentioned elsewhere,2009-2010,1840
Parow,Western Cape,All theft not mentioned elsewhere,2010-2011,1544
Parow,Western Cape,All theft not mentioned elsewhere,2011-2012,1795
Parow,Western Cape,All theft not mentioned elsewhere,2012-2013,1692
Parow,Western Cape,All theft not mentioned elsewhere,2013-2014,1946
Parow,Western Cape,All theft not mentioned elsewhere,2014-2015,1892
Parow,Western Cape,All theft not mentioned elsewhere,2015-2016,1693
Parow,Western Cape,All theft not mentioned elsewhere,2016-2017,1211
Atlantis,Western Cape,All theft not mentioned elsewhere,2005-2006,606
Atlantis,Western Cape,All theft not mentioned elsewhere,2006-2007,1381
Atlantis,Western Cape,All theft not mentioned elsewhere,2007-2008,1237
Atlantis,Western Cape,All theft not mentioned elsewhere,2008-2009,1206
Atlantis,Western Cape,All theft not mentioned elsewhere,2009-2010,1003
Atlantis,Western Cape,All theft not mentioned elsewhere,2010-2011,802
Atlantis,Western Cape,All theft not mentioned elsewhere,2011-2012,842
Atlantis,Western Cape,All theft not mentioned elsewhere,2012-2013,847
Atlantis,Western Cape,All theft not mentioned elsewhere,2013-2014,863
Atlantis,Western Cape,All theft not mentioned elsewhere,2014-2015,1152
Atlantis,Western Cape,All theft not mentioned elsewhere,2015-2016,1269
Atlantis,Western Cape,All theft not mentioned elsewhere,2016-2017,1210
Klerksdorp,North West,All theft not mentioned elsewhere,2005-2006,2511
Klerksdorp,North West,All theft not mentioned elsewhere,2006-2007,1800
Klerksdorp,North West,All theft not mentioned elsewhere,2007-2008,1817
Klerksdorp,North West,All theft not mentioned elsewhere,2008-2009,1844
Klerksdorp,North West,All theft not mentioned elsewhere,2009-2010,1529
Klerksdorp,North West,All theft not mentioned elsewhere,2010-2011,1467
Klerksdorp,North West,All theft not mentioned elsewhere,2011-2012,1434
Klerksdorp,North West,All theft not mentioned elsewhere,2012-2013,1332
Klerksdorp,North West,All theft not mentioned elsewhere,2013-2014,1167
Klerksdorp,North West,All theft not mentioned elsewhere,2014-2015,1423
Klerksdorp,North West,All theft not mentioned elsewhere,2015-2016,1696
Klerksdorp,North West,All theft not mentioned elsewhere,2016-2017,1205
Woodstock,Western Cape,All theft not mentioned elsewhere,2005-2006,1609
Woodstock,Western Cape,All theft not mentioned elsewhere,2006-2007,1588
Woodstock,Western Cape,All theft not mentioned elsewhere,2007-2008,1600
Woodstock,Western Cape,All theft not mentioned elsewhere,2008-2009,1710
Woodstock,Western Cape,All theft not mentioned elsewhere,2009-2010,1417
Woodstock,Western Cape,All theft not mentioned elsewhere,2010-2011,1370
Woodstock,Western Cape,All theft not mentioned elsewhere,2011-2012,1385
Woodstock,Western Cape,All theft not mentioned elsewhere,2012-2013,1173
Woodstock,Western Cape,All theft not mentioned elsewhere,2013-2014,1290
Woodstock,Western Cape,All theft not mentioned elsewhere,2014-2015,1341
Woodstock,Western Cape,All theft not mentioned elsewhere,2015-2016,1263
Woodstock,Western Cape,All theft not mentioned elsewhere,2016-2017,1199
Potchefstroom,North West,All theft not mentioned elsewhere,2005-2006,2424
Potchefstroom,North West,All theft not mentioned elsewhere,2006-2007,1993
Potchefstroom,North West,All theft not mentioned elsewhere,2007-2008,1361
Potchefstroom,North West,All theft not mentioned elsewhere,2008-2009,1352
Potchefstroom,North West,All theft not mentioned elsewhere,2009-2010,1240
Potchefstroom,North West,All theft not mentioned elsewhere,2010-2011,1266
Potchefstroom,North West,All theft not mentioned elsewhere,2011-2012,1100
Potchefstroom,North West,All theft not mentioned elsewhere,2012-2013,1062
Potchefstroom,North West,All theft not mentioned elsewhere,2013-2014,1096
Potchefstroom,North West,All theft not mentioned elsewhere,2014-2015,1294
Potchefstroom,North West,All theft not mentioned elsewhere,2015-2016,1244
Potchefstroom,North West,All theft not mentioned elsewhere,2016-2017,1194
Lyttelton,Gauteng,All theft not mentioned elsewhere,2005-2006,2564
Lyttelton,Gauteng,All theft not mentioned elsewhere,2006-2007,2741
Lyttelton,Gauteng,All theft not mentioned elsewhere,2007-2008,2272
Lyttelton,Gauteng,All theft not mentioned elsewhere,2008-2009,1781
Lyttelton,Gauteng,All theft not mentioned elsewhere,2009-2010,1466
Lyttelton,Gauteng,All theft not mentioned elsewhere,2010-2011,1478
Lyttelton,Gauteng,All theft not mentioned elsewhere,2011-2012,1394
Lyttelton,Gauteng,All theft not mentioned elsewhere,2012-2013,1276
Lyttelton,Gauteng,All theft not mentioned elsewhere,2013-2014,1366
Lyttelton,Gauteng,All theft not mentioned elsewhere,2014-2015,1285
Lyttelton,Gauteng,All theft not mentioned elsewhere,2015-2016,1283
Lyttelton,Gauteng,All theft not mentioned elsewhere,2016-2017,1188
Germiston,Gauteng,All theft not mentioned elsewhere,2005-2006,1343
Germiston,Gauteng,All theft not mentioned elsewhere,2006-2007,1437
Germiston,Gauteng,All theft not mentioned elsewhere,2007-2008,1392
Germiston,Gauteng,All theft not mentioned elsewhere,2008-2009,1364
Germiston,Gauteng,All theft not mentioned elsewhere,2009-2010,1398
Germiston,Gauteng,All theft not mentioned elsewhere,2010-2011,1205
Germiston,Gauteng,All theft not mentioned elsewhere,2011-2012,1206
Germiston,Gauteng,All theft not mentioned elsewhere,2012-2013,1325
Germiston,Gauteng,All theft not mentioned elsewhere,2013-2014,1272
Germiston,Gauteng,All theft not mentioned elsewhere,2014-2015,1189
Germiston,Gauteng,All theft not mentioned elsewhere,2015-2016,1328
Germiston,Gauteng,All theft not mentioned elsewhere,2016-2017,1187
Brakpan,Gauteng,All theft not mentioned elsewhere,2005-2006,1223
Brakpan,Gauteng,All theft not mentioned elsewhere,2006-2007,1092
Brakpan,Gauteng,All theft not mentioned elsewhere,2007-2008,1187
Brakpan,Gauteng,All theft not mentioned elsewhere,2008-2009,1213
Brakpan,Gauteng,All theft not mentioned elsewhere,2009-2010,1084
Brakpan,Gauteng,All theft not mentioned elsewhere,2010-2011,966
Brakpan,Gauteng,All theft not mentioned elsewhere,2011-2012,1000
Brakpan,Gauteng,All theft not mentioned elsewhere,2012-2013,943
Brakpan,Gauteng,All theft not mentioned elsewhere,2013-2014,1101
Brakpan,Gauteng,All theft not mentioned elsewhere,2014-2015,962
Brakpan,Gauteng,All theft not mentioned elsewhere,2015-2016,1069
Brakpan,Gauteng,All theft not mentioned elsewhere,2016-2017,1182
Vanderbijlpark,Gauteng,All theft not mentioned elsewhere,2005-2006,2108
Vanderbijlpark,Gauteng,All theft not mentioned elsewhere,2006-2007,1978
Vanderbijlpark,Gauteng,All theft not mentioned elsewhere,2007-2008,1382
Vanderbijlpark,Gauteng,All theft not mentioned elsewhere,2008-2009,1320
Vanderbijlpark,Gauteng,All theft not mentioned elsewhere,2009-2010,1130
Vanderbijlpark,Gauteng,All theft not mentioned elsewhere,2010-2011,1104
Vanderbijlpark,Gauteng,All theft not mentioned elsewhere,2011-2012,1090
Vanderbijlpark,Gauteng,All theft not mentioned elsewhere,2012-2013,1419
Vanderbijlpark,Gauteng,All theft not mentioned elsewhere,2013-2014,1525
Vanderbijlpark,Gauteng,All theft not mentioned elsewhere,2014-2015,1386
Vanderbijlpark,Gauteng,All theft not mentioned elsewhere,2015-2016,1277
Vanderbijlpark,Gauteng,All theft not mentioned elsewhere,2016-2017,1181
Bishop Lavis,Western Cape,All theft not mentioned elsewhere,2005-2006,1836
Bishop Lavis,Western Cape,All theft not mentioned elsewhere,2006-2007,2288
Bishop Lavis,Western Cape,All theft not mentioned elsewhere,2007-2008,2217
Bishop Lavis,Western Cape,All theft not mentioned elsewhere,2008-2009,1855
Bishop Lavis,Western Cape,All theft not mentioned elsewhere,2009-2010,1810
Bishop Lavis,Western Cape,All theft not mentioned elsewhere,2010-2011,1211
Bishop Lavis,Western Cape,All theft not mentioned elsewhere,2011-2012,1508
Bishop Lavis,Western Cape,All theft not mentioned elsewhere,2012-2013,1423
Bishop Lavis,Western Cape,All theft not mentioned elsewhere,2013-2014,1483
Bishop Lavis,Western Cape,All theft not mentioned elsewhere,2014-2015,1594
Bishop Lavis,Western Cape,All theft not mentioned elsewhere,2015-2016,1409
Bishop Lavis,Western Cape,All theft not mentioned elsewhere,2016-2017,1173
George,Western Cape,All theft not mentioned elsewhere,2005-2006,1494
George,Western Cape,All theft not mentioned elsewhere,2006-2007,1807
George,Western Cape,All theft not mentioned elsewhere,2007-2008,1560
George,Western Cape,All theft not mentioned elsewhere,2008-2009,1436
George,Western Cape,All theft not mentioned elsewhere,2009-2010,1238
George,Western Cape,All theft not mentioned elsewhere,2010-2011,1426
George,Western Cape,All theft not mentioned elsewhere,2011-2012,1412
George,Western Cape,All theft not mentioned elsewhere,2012-2013,1511
George,Western Cape,All theft not mentioned elsewhere,2013-2014,1420
George,Western Cape,All theft not mentioned elsewhere,2014-2015,1195
George,Western Cape,All theft not mentioned elsewhere,2015-2016,1096
George,Western Cape,All theft not mentioned elsewhere,2016-2017,1150
Springs,Gauteng,All theft not mentioned elsewhere,2005-2006,1329
Springs,Gauteng,All theft not mentioned elsewhere,2006-2007,1538
Springs,Gauteng,All theft not mentioned elsewhere,2007-2008,1575
Springs,Gauteng,All theft not mentioned elsewhere,2008-2009,1741
Springs,Gauteng,All theft not mentioned elsewhere,2009-2010,1738
Springs,Gauteng,All theft not mentioned elsewhere,2010-2011,1564
Springs,Gauteng,All theft not mentioned elsewhere,2011-2012,1396
Springs,Gauteng,All theft not mentioned elsewhere,2012-2013,1257
Springs,Gauteng,All theft not mentioned elsewhere,2013-2014,1307
Springs,Gauteng,All theft not mentioned elsewhere,2014-2015,1389
Springs,Gauteng,All theft not mentioned elsewhere,2015-2016,1229
Springs,Gauteng,All theft not mentioned elsewhere,2016-2017,1147
Randburg,Gauteng,All theft not mentioned elsewhere,2005-2006,1526
Randburg,Gauteng,All theft not mentioned elsewhere,2006-2007,1431
Randburg,Gauteng,All theft not mentioned elsewhere,2007-2008,1334
Randburg,Gauteng,All theft not mentioned elsewhere,2008-2009,1613
Randburg,Gauteng,All theft not mentioned elsewhere,2009-2010,1384
Randburg,Gauteng,All theft not mentioned elsewhere,2010-2011,1266
Randburg,Gauteng,All theft not mentioned elsewhere,2011-2012,1226
Randburg,Gauteng,All theft not mentioned elsewhere,2012-2013,1275
Randburg,Gauteng,All theft not mentioned elsewhere,2013-2014,1293
Randburg,Gauteng,All theft not mentioned elsewhere,2014-2015,1269
Randburg,Gauteng,All theft not mentioned elsewhere,2015-2016,1169
Randburg,Gauteng,All theft not mentioned elsewhere,2016-2017,1139
Manenberg,Western Cape,All theft not mentioned elsewhere,2005-2006,846
Manenberg,Western Cape,All theft not mentioned elsewhere,2006-2007,1280
Manenberg,Western Cape,All theft not mentioned elsewhere,2007-2008,1295
Manenberg,Western Cape,All theft not mentioned elsewhere,2008-2009,843
Manenberg,Western Cape,All theft not mentioned elsewhere,2009-2010,826
Manenberg,Western Cape,All theft not mentioned elsewhere,2010-2011,768
Manenberg,Western Cape,All theft not mentioned elsewhere,2011-2012,880
Manenberg,Western Cape,All theft not mentioned elsewhere,2012-2013,1211
Manenberg,Western Cape,All theft not mentioned elsewhere,2013-2014,1367
Manenberg,Western Cape,All theft not mentioned elsewhere,2014-2015,1698
Manenberg,Western Cape,All theft not mentioned elsewhere,2015-2016,1171
Manenberg,Western Cape,All theft not mentioned elsewhere,2016-2017,1124
Pretoria West,Gauteng,All theft not mentioned elsewhere,2005-2006,2020
Pretoria West,Gauteng,All theft not mentioned elsewhere,2006-2007,2239
Pretoria West,Gauteng,All theft not mentioned elsewhere,2007-2008,2340
Pretoria West,Gauteng,All theft not mentioned elsewhere,2008-2009,1976
Pretoria West,Gauteng,All theft not mentioned elsewhere,2009-2010,2004
Pretoria West,Gauteng,All theft not mentioned elsewhere,2010-2011,1760
Pretoria West,Gauteng,All theft not mentioned elsewhere,2011-2012,1524
Pretoria West,Gauteng,All theft not mentioned elsewhere,2012-2013,1570
Pretoria West,Gauteng,All theft not mentioned elsewhere,2013-2014,1597
Pretoria West,Gauteng,All theft not mentioned elsewhere,2014-2015,1568
Pretoria West,Gauteng,All theft not mentioned elsewhere,2015-2016,1389
Pretoria West,Gauteng,All theft not mentioned elsewhere,2016-2017,1119
Boksburg North,Gauteng,All theft not mentioned elsewhere,2005-2006,1854
Boksburg North,Gauteng,All theft not mentioned elsewhere,2006-2007,1880
Boksburg North,Gauteng,All theft not mentioned elsewhere,2007-2008,1697
Boksburg North,Gauteng,All theft not mentioned elsewhere,2008-2009,1757
Boksburg North,Gauteng,All theft not mentioned elsewhere,2009-2010,1679
Boksburg North,Gauteng,All theft not mentioned elsewhere,2010-2011,1576
Boksburg North,Gauteng,All theft not mentioned elsewhere,2011-2012,1422
Boksburg North,Gauteng,All theft not mentioned elsewhere,2012-2013,1406
Boksburg North,Gauteng,All theft not mentioned elsewhere,2013-2014,1517
Boksburg North,Gauteng,All theft not mentioned elsewhere,2014-2015,1268
Boksburg North,Gauteng,All theft not mentioned elsewhere,2015-2016,1311
Boksburg North,Gauteng,All theft not mentioned elsewhere,2016-2017,1118
Wierdabrug,Gauteng,All theft not mentioned elsewhere,2005-2006,1733
Wierdabrug,Gauteng,All theft not mentioned elsewhere,2006-2007,1728
Wierdabrug,Gauteng,All theft not mentioned elsewhere,2007-2008,2003
Wierdabrug,Gauteng,All theft not mentioned elsewhere,2008-2009,2116
Wierdabrug,Gauteng,All theft not mentioned elsewhere,2009-2010,1925
Wierdabrug,Gauteng,All theft not mentioned elsewhere,2010-2011,1825
Wierdabrug,Gauteng,All theft not mentioned elsewhere,2011-2012,1750
Wierdabrug,Gauteng,All theft not mentioned elsewhere,2012-2013,1218
Wierdabrug,Gauteng,All theft not mentioned elsewhere,2013-2014,1338
Wierdabrug,Gauteng,All theft not mentioned elsewhere,2014-2015,1152
Wierdabrug,Gauteng,All theft not mentioned elsewhere,2015-2016,1188
Wierdabrug,Gauteng,All theft not mentioned elsewhere,2016-2017,1106
Moroka,Gauteng,All theft not mentioned elsewhere,2005-2006,1132
Moroka,Gauteng,All theft not mentioned elsewhere,2006-2007,1048
Moroka,Gauteng,All theft not mentioned elsewhere,2007-2008,1105
Moroka,Gauteng,All theft not mentioned elsewhere,2008-2009,1192
Moroka,Gauteng,All theft not mentioned elsewhere,2009-2010,1078
Moroka,Gauteng,All theft not mentioned elsewhere,2010-2011,987
Moroka,Gauteng,All theft not mentioned elsewhere,2011-2012,1062
Moroka,Gauteng,All theft not mentioned elsewhere,2012-2013,1159
Moroka,Gauteng,All theft not mentioned elsewhere,2013-2014,1092
Moroka,Gauteng,All theft not mentioned elsewhere,2014-2015,1182
Moroka,Gauteng,All theft not mentioned elsewhere,2015-2016,1166
Moroka,Gauteng,All theft not mentioned elsewhere,2016-2017,1100
Mfuleni,Western Cape,All theft not mentioned elsewhere,2005-2006,480
Mfuleni,Western Cape,All theft not mentioned elsewhere,2006-2007,789
Mfuleni,Western Cape,All theft not mentioned elsewhere,2007-2008,864
Mfuleni,Western Cape,All theft not mentioned elsewhere,2008-2009,922
Mfuleni,Western Cape,All theft not mentioned elsewhere,2009-2010,794
Mfuleni,Western Cape,All theft not mentioned elsewhere,2010-2011,914
Mfuleni,Western Cape,All theft not mentioned elsewhere,2011-2012,1003
Mfuleni,Western Cape,All theft not mentioned elsewhere,2012-2013,1059
Mfuleni,Western Cape,All theft not mentioned elsewhere,2013-2014,1156
Mfuleni,Western Cape,All theft not mentioned elsewhere,2014-2015,1164
Mfuleni,Western Cape,All theft not mentioned elsewhere,2015-2016,1172
Mfuleni,Western Cape,All theft not mentioned elsewhere,2016-2017,1076
Humewood,Eastern Cape,All theft not mentioned elsewhere,2005-2006,2585
Humewood,Eastern Cape,All theft not mentioned elsewhere,2006-2007,2276
Humewood,Eastern Cape,All theft not mentioned elsewhere,2007-2008,1889
Humewood,Eastern Cape,All theft not mentioned elsewhere,2008-2009,1712
Humewood,Eastern Cape,All theft not mentioned elsewhere,2009-2010,1288
Humewood,Eastern Cape,All theft not mentioned elsewhere,2010-2011,1569
Humewood,Eastern Cape,All theft not mentioned elsewhere,2011-2012,1294
Humewood,Eastern Cape,All theft not mentioned elsewhere,2012-2013,1236
Humewood,Eastern Cape,All theft not mentioned elsewhere,2013-2014,1408
Humewood,Eastern Cape,All theft not mentioned elsewhere,2014-2015,1132
Humewood,Eastern Cape,All theft not mentioned elsewhere,2015-2016,1044
Humewood,Eastern Cape,All theft not mentioned elsewhere,2016-2017,1073
Brackenfell,Western Cape,All theft not mentioned elsewhere,2005-2006,1364
Brackenfell,Western Cape,All theft not mentioned elsewhere,2006-2007,1254
Brackenfell,Western Cape,All theft not mentioned elsewhere,2007-2008,1319
Brackenfell,Western Cape,All theft not mentioned elsewhere,2008-2009,1425
Brackenfell,Western Cape,All theft not mentioned elsewhere,2009-2010,1315
Brackenfell,Western Cape,All theft not mentioned elsewhere,2010-2011,1021
Brackenfell,Western Cape,All theft not mentioned elsewhere,2011-2012,1166
Brackenfell,Western Cape,All theft not mentioned elsewhere,2012-2013,1123
Brackenfell,Western Cape,All theft not mentioned elsewhere,2013-2014,1005
Brackenfell,Western Cape,All theft not mentioned elsewhere,2014-2015,1155
Brackenfell,Western Cape,All theft not mentioned elsewhere,2015-2016,1192
Brackenfell,Western Cape,All theft not mentioned elsewhere,2016-2017,1072
Alberton,Gauteng,All theft not mentioned elsewhere,2005-2006,1523
Alberton,Gauteng,All theft not mentioned elsewhere,2006-2007,1322
Alberton,Gauteng,All theft not mentioned elsewhere,2007-2008,1289
Alberton,Gauteng,All theft not mentioned elsewhere,2008-2009,1200
Alberton,Gauteng,All theft not mentioned elsewhere,2009-2010,1261
Alberton,Gauteng,All theft not mentioned elsewhere,2010-2011,1118
Alberton,Gauteng,All theft not mentioned elsewhere,2011-2012,1055
Alberton,Gauteng,All theft not mentioned elsewhere,2012-2013,1034
Alberton,Gauteng,All theft not mentioned elsewhere,2013-2014,1215
Alberton,Gauteng,All theft not mentioned elsewhere,2014-2015,1100
Alberton,Gauteng,All theft not mentioned elsewhere,2015-2016,1103
Alberton,Gauteng,All theft not mentioned elsewhere,2016-2017,1068
Oudtshoorn,Western Cape,All theft not mentioned elsewhere,2005-2006,804
Oudtshoorn,Western Cape,All theft not mentioned elsewhere,2006-2007,666
Oudtshoorn,Western Cape,All theft not mentioned elsewhere,2007-2008,578
Oudtshoorn,Western Cape,All theft not mentioned elsewhere,2008-2009,661
Oudtshoorn,Western Cape,All theft not mentioned elsewhere,2009-2010,755
Oudtshoorn,Western Cape,All theft not mentioned elsewhere,2010-2011,698
Oudtshoorn,Western Cape,All theft not mentioned elsewhere,2011-2012,953
Oudtshoorn,Western Cape,All theft not mentioned elsewhere,2012-2013,1021
Oudtshoorn,Western Cape,All theft not mentioned elsewhere,2013-2014,1106
Oudtshoorn,Western Cape,All theft not mentioned elsewhere,2014-2015,1147
Oudtshoorn,Western Cape,All theft not mentioned elsewhere,2015-2016,1168
Oudtshoorn,Western Cape,All theft not mentioned elsewhere,2016-2017,1065
Silverton,Gauteng,All theft not mentioned elsewhere,2005-2006,1474
Silverton,Gauteng,All theft not mentioned elsewhere,2006-2007,1283
Silverton,Gauteng,All theft not mentioned elsewhere,2007-2008,1357
Silverton,Gauteng,All theft not mentioned elsewhere,2008-2009,1564
Silverton,Gauteng,All theft not mentioned elsewhere,2009-2010,1379
Silverton,Gauteng,All theft not mentioned elsewhere,2010-2011,1432
Silverton,Gauteng,All theft not mentioned elsewhere,2011-2012,987
Silverton,Gauteng,All theft not mentioned elsewhere,2012-2013,1154
Silverton,Gauteng,All theft not mentioned elsewhere,2013-2014,1114
Silverton,Gauteng,All theft not mentioned elsewhere,2014-2015,1226
Silverton,Gauteng,All theft not mentioned elsewhere,2015-2016,1002
Silverton,Gauteng,All theft not mentioned elsewhere,2016-2017,1064
Nyanga,Western Cape,All theft not mentioned elsewhere,2005-2006,647
Nyanga,Western Cape,All theft not mentioned elsewhere,2006-2007,718
Nyanga,Western Cape,All theft not mentioned elsewhere,2007-2008,658
Nyanga,Western Cape,All theft not mentioned elsewhere,2008-2009,709
Nyanga,Western Cape,All theft not mentioned elsewhere,2009-2010,583
Nyanga,Western Cape,All theft not mentioned elsewhere,2010-2011,650
Nyanga,Western Cape,All theft not mentioned elsewhere,2011-2012,804
Nyanga,Western Cape,All theft not mentioned elsewhere,2012-2013,761
Nyanga,Western Cape,All theft not mentioned elsewhere,2013-2014,821
Nyanga,Western Cape,All theft not mentioned elsewhere,2014-2015,803
Nyanga,Western Cape,All theft not mentioned elsewhere,2015-2016,896
Nyanga,Western Cape,All theft not mentioned elsewhere,2016-2017,1045
Pietermaritzburg,Kwazulu/Natal,All theft not mentioned elsewhere,2005-2006,1402
Pietermaritzburg,Kwazulu/Natal,All theft not mentioned elsewhere,2006-2007,1628
Pietermaritzburg,Kwazulu/Natal,All theft not mentioned elsewhere,2007-2008,1134
Pietermaritzburg,Kwazulu/Natal,All theft not mentioned elsewhere,2008-2009,1173
Pietermaritzburg,Kwazulu/Natal,All theft not mentioned elsewhere,2009-2010,1070
Pietermaritzburg,Kwazulu/Natal,All theft not mentioned elsewhere,2010-2011,1074
Pietermaritzburg,Kwazulu/Natal,All theft not mentioned elsewhere,2011-2012,1195
Pietermaritzburg,Kwazulu/Natal,All theft not mentioned elsewhere,2012-2013,1211
Pietermaritzburg,Kwazulu/Natal,All theft not mentioned elsewhere,2013-2014,1394
Pietermaritzburg,Kwazulu/Natal,All theft not mentioned elsewhere,2014-2015,1459
Pietermaritzburg,Kwazulu/Natal,All theft not mentioned elsewhere,2015-2016,1202
Pietermaritzburg,Kwazulu/Natal,All theft not mentioned elsewhere,2016-2017,1022
Sophia Town,Gauteng,All theft not mentioned elsewhere,2005-2006,1422
Sophia Town,Gauteng,All theft not mentioned elsewhere,2006-2007,1150
Sophia Town,Gauteng,All theft not mentioned elsewhere,2007-2008,1075
Sophia Town,Gauteng,All theft not mentioned elsewhere,2008-2009,897
Sophia Town,Gauteng,All theft not mentioned elsewhere,2009-2010,772
Sophia Town,Gauteng,All theft not mentioned elsewhere,2010-2011,985
Sophia Town,Gauteng,All theft not mentioned elsewhere,2011-2012,890
Sophia Town,Gauteng,All theft not mentioned elsewhere,2012-2013,1094
Sophia Town,Gauteng,All theft not mentioned elsewhere,2013-2014,994
Sophia Town,Gauteng,All theft not mentioned elsewhere,2014-2015,1038
Sophia Town,Gauteng,All theft not mentioned elsewhere,2015-2016,1089
Sophia Town,Gauteng,All theft not mentioned elsewhere,2016-2017,1008
Moffatview,Gauteng,All theft not mentioned elsewhere,2005-2006,0
Moffatview,Gauteng,All theft not mentioned elsewhere,2006-2007,0
Moffatview,Gauteng,All theft not mentioned elsewhere,2007-2008,0
Moffatview,Gauteng,All theft not mentioned elsewhere,2008-2009,0
Moffatview,Gauteng,All theft not mentioned elsewhere,2009-2010,0
Moffatview,Gauteng,All theft not mentioned elsewhere,2010-2011,0
Moffatview,Gauteng,All theft not mentioned elsewhere,2011-2012,0
Moffatview,Gauteng,All theft not mentioned elsewhere,2012-2013,1012
Moffatview,Gauteng,All theft not mentioned elsewhere,2013-2014,1195
Moffatview,Gauteng,All theft not mentioned elsewhere,2014-2015,1294
Moffatview,Gauteng,All theft not mentioned elsewhere,2015-2016,991
Moffatview,Gauteng,All theft not mentioned elsewhere,2016-2017,1004
Mankweng,Limpopo,All theft not mentioned elsewhere,2005-2006,516
Mankweng,Limpopo,All theft not mentioned elsewhere,2006-2007,522
Mankweng,Limpopo,All theft not mentioned elsewhere,2007-2008,501
Mankweng,Limpopo,All theft not mentioned elsewhere,2008-2009,282
Mankweng,Limpopo,All theft not mentioned elsewhere,2009-2010,265
Mankweng,Limpopo,All theft not mentioned elsewhere,2010-2011,262
Mankweng,Limpopo,All theft not mentioned elsewhere,2011-2012,556
Mankweng,Limpopo,All theft not mentioned elsewhere,2012-2013,560
Mankweng,Limpopo,All theft not mentioned elsewhere,2013-2014,505
Mankweng,Limpopo,All theft not mentioned elsewhere,2014-2015,746
Mankweng,Limpopo,All theft not mentioned elsewhere,2015-2016,994
Mankweng,Limpopo,All theft not mentioned elsewhere,2016-2017,979
Hercules,Gauteng,All theft not mentioned elsewhere,2005-2006,970
Hercules,Gauteng,All theft not mentioned elsewhere,2006-2007,907
Hercules,Gauteng,All theft not mentioned elsewhere,2007-2008,1032
Hercules,Gauteng,All theft not mentioned elsewhere,2008-2009,1050
Hercules,Gauteng,All theft not mentioned elsewhere,2009-2010,978
Hercules,Gauteng,All theft not mentioned elsewhere,2010-2011,1074
Hercules,Gauteng,All theft not mentioned elsewhere,2011-2012,1044
Hercules,Gauteng,All theft not mentioned elsewhere,2012-2013,844
Hercules,Gauteng,All theft not mentioned elsewhere,2013-2014,796
Hercules,Gauteng,All theft not mentioned elsewhere,2014-2015,1059
Hercules,Gauteng,All theft not mentioned elsewhere,2015-2016,1058
Hercules,Gauteng,All theft not mentioned elsewhere,2016-2017,978
Paarl East,Western Cape,All theft not mentioned elsewhere,2005-2006,614
Paarl East,Western Cape,All theft not mentioned elsewhere,2006-2007,483
Paarl East,Western Cape,All theft not mentioned elsewhere,2007-2008,331
Paarl East,Western Cape,All theft not mentioned elsewhere,2008-2009,479
Paarl East,Western Cape,All theft not mentioned elsewhere,2009-2010,681
Paarl East,Western Cape,All theft not mentioned elsewhere,2010-2011,750
Paarl East,Western Cape,All theft not mentioned elsewhere,2011-2012,910
Paarl East,Western Cape,All theft not mentioned elsewhere,2012-2013,1009
Paarl East,Western Cape,All theft not mentioned elsewhere,2013-2014,1058
Paarl East,Western Cape,All theft not mentioned elsewhere,2014-2015,1044
Paarl East,Western Cape,All theft not mentioned elsewhere,2015-2016,1019
Paarl East,Western Cape,All theft not mentioned elsewhere,2016-2017,965
Ladysmith,Kwazulu/Natal,All theft not mentioned elsewhere,2005-2006,1522
Ladysmith,Kwazulu/Natal,All theft not mentioned elsewhere,2006-2007,1202
Ladysmith,Kwazulu/Natal,All theft not mentioned elsewhere,2007-2008,1101
Ladysmith,Kwazulu/Natal,All theft not mentioned elsewhere,2008-2009,974
