"year","station","loc_mn","dc_mn","longitude","latitude","other_theft","arson","assault_gbh","attempted_murder","attempted_sexoff","bank_robbery","burglary_nonres","burglary_res","carjacking","commercial_crime","common_assault","common_robbery","contact_sexoff","dui","drug_crime","illegal_firearms","kidnapping","malicious_damage","murder","rape","robbery_nonres","robbery_res","cash_transit_robbery","aggr_robbery","sexual_assault","sexual_offences","police_detected_sexoff","shoplifting","stock_theft","vehicle_theft","theft_from_vehicle","truck_hijacking"
"2008/2009","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",491,3,570,25,3,0,104,226,25,161,443,132,1,213,113,34,1,236,24,58,34,42,1,293,7,119,0,218,0,143,272,0
"2009/2010","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",452,5,625,9,3,0,86,180,35,154,473,127,2,264,283,22,1,252,14,55,27,57,1,276,13,115,0,185,0,124,300,0
"2010/2011","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",525,1,586,15,5,0,83,231,23,247,469,113,3,228,108,10,1,208,21,60,36,27,0,238,23,101,0,164,0,96,256,0
"2011/2012","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",559,2,591,18,5,0,92,199,54,197,437,103,4,340,161,18,1,210,10,42,54,46,0,328,3,52,1,111,0,104,243,0
"2012/2013","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",562,0,556,29,5,0,73,210,48,129,441,134,5,351,155,28,1,262,17,71,51,56,1,355,17,96,3,133,0,136,380,0
"2013/2014","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",459,3,532,33,4,1,109,221,33,124,338,111,6,335,356,45,2,248,18,47,50,51,0,423,8,59,0,82,0,149,394,0
"2014/2015","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",459,0,598,18,1,0,69,209,43,93,329,120,7,275,270,24,3,220,23,60,33,63,0,386,11,73,1,100,0,117,408,1
"2015/2016","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",442,3,593,36,4,0,71,199,139,81,410,212,8,512,174,45,4,263,31,39,56,82,0,602,5,52,0,131,0,132,400,0
"2016/2017","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",381,1,496,29,1,0,84,155,89,87,365,206,5,245,186,41,5,251,18,33,69,69,0,577,13,50,1,130,0,103,549,1
"2017/2018","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",376,0,498,23,0,0,62,159,64,77,267,220,6,352,124,31,6,236,27,37,54,62,0,499,14,51,0,127,0,70,431,0
"2018/2019","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",360,2,502,38,2,0,52,137,37,70,327,237,5,220,69,12,7,181,30,55,45,44,0,447,16,76,0,102,0,55,273,0
"2019/2020","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",316,0,477,31,4,0,72,142,39,62,342,240,7,149,45,17,8,189,20,42,51,40,1,393,16,63,2,102,0,50,250,1
"2020/2021","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",243,0,410,38,3,0,88,97,52,73,308,201,7,41,37,10,9,145,22,45,40,40,0,333,10,59,0,71,0,28,208,0
"2021/2022","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",213,1,415,38,1,0,59,91,92,88,247,220,6,170,34,9,10,155,34,35,44,33,0,369,15,51,0,53,0,72,231,0
"2022/2023","yeoville","city of johannesburg","city of johannesburg","28.06281","-26.1829",290,0,388,26,4,0,73,133,69,101,236,236,7,274,39,3,11,125,28,43,66,28,0,338,9,57,1,56,0,123,191,0
"2008/2009","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",46,2,48,3,2,0,15,41,0,1,20,6,6,12,2,3,1,21,2,17,1,1,0,6,1,20,0,0,17,0,2,0
"2009/2010","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",18,3,46,4,5,0,13,50,3,2,18,8,7,4,7,3,1,23,3,14,3,0,0,8,0,20,0,0,9,0,2,0
"2010/2011","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",25,3,37,0,3,0,8,38,0,0,17,7,6,2,13,0,1,10,3,13,5,1,0,9,0,16,0,0,37,1,5,0
"2011/2012","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",63,3,55,2,1,0,16,42,0,0,16,12,6,0,4,0,1,23,0,12,0,0,0,3,0,13,0,0,5,2,2,0
"2012/2013","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",30,1,42,3,0,0,17,23,0,1,10,6,7,1,7,2,1,12,3,18,8,0,0,8,0,19,0,0,20,1,2,0
"2013/2014","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",41,4,43,0,4,0,17,31,0,2,16,3,6,0,6,0,12,17,1,19,7,2,0,9,0,23,0,0,12,2,6,0
"2014/2015","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",33,1,37,3,2,0,34,52,2,4,22,9,6,2,8,4,13,16,4,13,9,1,0,16,0,15,0,0,11,2,6,0
"2015/2016","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",25,2,52,1,1,0,34,36,1,6,32,11,6,1,2,1,13,18,1,19,4,2,0,10,1,21,0,0,5,3,8,0
"2016/2017","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",33,2,40,3,1,0,39,58,0,3,26,8,6,4,43,0,13,20,1,12,5,3,0,9,1,14,0,0,9,8,9,0
"2017/2018","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",22,0,29,0,1,0,27,26,0,1,9,3,6,4,43,1,13,11,3,13,3,1,0,5,0,14,0,0,19,10,4,0
"2018/2019","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",25,2,30,2,1,0,21,30,0,2,6,2,6,7,24,6,13,15,2,18,6,2,0,10,1,20,0,0,13,0,5,0
"2019/2020","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",13,0,21,1,2,0,32,28,1,4,4,3,6,16,18,2,12,8,1,9,10,3,0,15,0,11,0,0,17,2,4,0
"2020/2021","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",14,2,29,0,1,0,22,28,0,2,7,2,6,7,24,2,13,19,2,13,4,0,0,5,0,14,2,0,24,2,8,0
"2021/2022","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",12,0,32,0,3,0,15,31,1,1,14,4,6,5,32,2,12,10,4,14,3,4,0,8,1,18,5,0,10,1,1,0
"2022/2023","zaaiplaas","elias motsoaledi","sekhukhune","29.76174","-25.16257",28,0,26,2,1,0,13,33,2,5,11,3,6,5,55,0,14,14,1,11,3,2,0,7,1,13,34,0,9,0,7,0
"2008/2009","zamdela","metsimaholo","fezile dabi","27.85671","-26.84416",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2009/2010","zamdela","metsimaholo","fezile dabi","27.85671","-26.84416",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010/2011","zamdela","metsimaholo","fezile dabi","27.85671","-26.84416",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011/2012","zamdela","metsimaholo","fezile dabi","27.85671","-26.84416",338,13,373,30,3,0,66,356,3,10,567,60,5,44,161,8,1,222,27,84,35,7,0,133,44,134,1,7,11,38,52,1
"2012/2013","zamdela","metsimaholo","fezile dabi","27.85671","-26.84416",332,24,466,50,4,0,126,460,12,19,649,63,4,70,90,10,1,305,27,141,46,5,0,142,19,166,0,4,11,40,46,2
"2013/2014","zamdela","metsimaholo","fezile dabi","27.85671","-26.84416",388,18,418,90,1,0,89,563,6,25,756,52,4,101,228,10,15,273,17,85,61,9,0,195,19,107,0,3,26,56,48,6
"2014/2015","zamdela","metsimaholo","fezile dabi","27.85671","-26.84416",368,21,406,95,0,0,97,525,4,7,562,68,9,98,409,16,16,262,24,109,46,10,0,181,13,127,0,2,10,46,79,0
"2015/2016","zamdela","metsimaholo","fezile dabi","27.85671","-26.84416",361,6,436,32,0,0,105,477,4,16,692,60,5,138,411,11,14,267,20,79,54,16,0,170,11,93,0,7,18,54,64,0
"2016/2017","zamdela","metsimaholo","fezile dabi","27.85671","-26.84416",349,6,375,17,0,0,90,448,6,21,646,31,6,92,373,10,2,215,16,66,57,7,0,131,22,88,1,2,16,28,50,1
"2017/2018","zamdela","metsimaholo","fezile dabi","27.85671","-26.84416",274,2,390,11,0,0,76,567,8,16,618,31,5,82,455,7,2,206,28,58,43,16,1,160,17,78,0,4,26,22,43,2
"2018/2019","zamdela","metsimaholo","fezile dabi","27.85671","-26.84416",313,4,349,37,0,0,60,349,11,22,645,36,7,127,358,11,17,222,14,71,55,15,0,183,20,92,0,1,40,32,59,1
"2019/2020","zamdela","metsimaholo","fezile dabi","27.85671","-26.84416",331,2,386,79,2,0,88,408,20,31,496,46,4,121,78,15,6,208,19,72,54,14,1,184,11,87,0,0,23,67,79,5
"2020/2021","zamdela","metsimaholo","fezile dabi","27.85671","-26.84416",234,8,304,81,0,0,67,262,7,40,409,23,6,103,53,13,18,219,19,65,29,7,0,91,8,73,0,2,7,25,52,2
"2021/2022","zamdela","metsimaholo","fezile dabi","27.85671","-26.84416",329,9,359,129,5,0,63,323,14,24,430,29,6,136,55,9,19,271,21,78,24,21,0,133,16,99,0,3,18,26,52,6
"2022/2023","zamdela","metsimaholo","fezile dabi","27.85671","-26.84416",348,5,312,173,2,0,77,320,20,29,429,44,6,92,93,23,20,211,29,69,33,30,0,182,15,86,0,9,28,40,36,3
"2008/2009","zamuxolo","elundini","joe gqabi","28.26695","-30.59053",0,1,24,1,0,0,4,10,0,0,7,1,4,0,12,13,1,2,2,8,0,0,0,0,0,10,0,0,3,0,1,0
"2009/2010","zamuxolo","elundini","joe gqabi","28.26695","-30.59053",16,2,20,0,1,0,1,13,0,0,5,1,6,0,5,4,1,0,2,3,0,0,0,1,1,5,0,0,7,0,0,0
"2010/2011","zamuxolo","elundini","joe gqabi","28.26695","-30.59053",3,1,20,1,2,0,0,8,0,0,4,1,6,0,6,2,1,1,1,3,0,0,0,0,2,7,0,0,4,0,0,0
"2011/2012","zamuxolo","elundini","joe gqabi","28.26695","-30.59053",1,2,14,0,3,0,0,6,0,0,5,1,6,0,3,1,1,2,0,2,0,0,0,0,0,5,0,0,3,0,0,0
"2012/2013","zamuxolo","elundini","joe gqabi","28.26695","-30.59053",7,0,24,1,1,0,1,8,0,0,6,0,6,0,1,2,1,2,2,9,0,0,0,0,0,10,0,0,1,0,0,0
"2013/2014","zamuxolo","elundini","joe gqabi","28.26695","-30.59053",1,0,21,1,0,0,4,14,0,0,0,0,6,0,4,1,13,3,6,5,0,2,0,2,1,6,0,0,0,0,0,0
"2014/2015","zamuxolo","elundini","joe gqabi","28.26695","-30.59053",2,0,12,2,1,0,1,6,0,0,6,1,6,0,4,1,13,6,3,6,0,0,0,0,1,8,0,0,1,0,1,0
"2015/2016","zamuxolo","elundini","joe gqabi","28.26695","-30.59053",2,1,20,1,2,0,2,12,0,0,1,1,6,0,3,0,12,2,2,5,1,2,0,3,0,7,0,0,2,0,0,0
"2016/2017","zamuxolo","elundini","joe gqabi","28.26695","-30.59053",3,1,11,0,1,0,0,9,0,0,0,0,7,0,7,1,13,2,2,4,0,0,0,0,0,6,0,0,1,0,0,0
"2017/2018","zamuxolo","elundini","joe gqabi","28.26695","-30.59053",2,0,15,0,0,0,4,6,0,0,3,0,6,0,5,3,13,2,4,6,1,0,0,1,0,6,0,0,0,0,1,0
"2018/2019","zamuxolo","elundini","joe gqabi","28.26695","-30.59053",3,3,18,2,0,0,1,3,0,0,2,1,6,0,4,2,13,2,2,5,0,0,0,0,1,6,0,0,2,0,0,0
"2019/2020","zamuxolo","elundini","joe gqabi","28.26695","-30.59053",4,1,6,1,0,0,0,3,0,1,0,0,6,0,6,3,13,1,4,6,0,1,0,1,2,8,0,0,3,0,0,0
"2020/2021","zamuxolo","elundini","joe gqabi","28.26695","-30.59053",2,3,10,0,0,0,5,2,0,0,1,2,6,0,0,1,13,3,2,4,1,0,0,2,1,5,0,0,6,0,0,0
"2021/2022","zamuxolo","elundini","joe gqabi","28.26695","-30.59053",2,1,13,0,2,0,2,2,0,1,0,0,6,0,0,0,12,4,8,4,0,0,0,0,2,8,0,0,2,0,0,0
"2022/2023","zamuxolo","elundini","joe gqabi","28.26695","-30.59053",2,1,14,0,0,0,3,1,0,2,2,1,6,0,0,0,12,0,2,2,1,2,0,3,2,4,0,0,2,0,0,0
"2008/2009","zastron","mohokare","xhariep","27.08167","-30.30455",79,1,142,6,6,0,40,94,0,13,93,10,5,0,26,0,1,50,4,37,1,0,0,3,6,52,0,13,130,0,4,0
"2009/2010","zastron","mohokare","xhariep","27.08167","-30.30455",93,1,152,3,6,0,53,140,0,8,66,8,4,4,49,1,1,52,2,22,1,3,0,9,4,34,0,11,119,4,21,0
"2010/2011","zastron","mohokare","xhariep","27.08167","-30.30455",81,8,163,4,6,0,50,88,0,7,58,4,7,5,38,3,1,71,9,29,8,5,0,14,2,38,0,15,127,5,33,0
"2011/2012","zastron","mohokare","xhariep","27.08167","-30.30455",74,2,153,4,7,0,67,116,1,16,71,4,4,10,19,1,1,64,6,30,10,3,0,17,3,42,0,8,99,5,34,0
"2012/2013","zastron","mohokare","xhariep","27.08167","-30.30455",95,5,152,11,0,0,43,162,0,23,89,18,7,8,41,4,1,63,6,21,5,3,0,13,4,26,0,13,66,4,25,0
"2013/2014","zastron","mohokare","xhariep","27.08167","-30.30455",83,2,120,8,1,0,59,152,0,19,66,13,6,3,74,1,21,54,4,24,3,4,0,11,1,26,1,20,101,5,39,0
"2014/2015","zastron","mohokare","xhariep","27.08167","-30.30455",66,1,111,9,6,0,54,131,0,15,65,11,7,8,99,5,12,32,3,34,2,0,0,4,0,41,0,8,49,3,8,0
"2015/2016","zastron","mohokare","xhariep","27.08167","-30.30455",65,1,84,2,3,0,17,82,0,22,38,8,7,14,138,1,21,34,2,20,1,2,0,5,1,25,0,9,54,1,12,0
"2016/2017","zastron","mohokare","xhariep","27.08167","-30.30455",67,1,64,3,1,0,28,101,2,17,19,8,6,19,177,3,13,26,5,28,2,0,0,5,0,29,0,8,66,1,4,0
"2017/2018","zastron","mohokare","xhariep","27.08167","-30.30455",59,1,45,1,0,0,18,62,0,14,31,3,4,11,232,2,13,22,6,13,1,0,0,4,0,15,0,12,52,4,8,0
"2018/2019","zastron","mohokare","xhariep","27.08167","-30.30455",45,0,50,3,2,0,35,70,1,25,15,11,6,9,166,0,12,8,7,10,2,0,0,5,0,12,0,8,47,4,9,0
"2019/2020","zastron","mohokare","xhariep","27.08167","-30.30455",39,2,43,2,2,0,27,45,0,8,19,8,6,16,58,1,12,21,6,16,2,0,0,8,0,18,0,9,78,3,14,0
"2020/2021","zastron","mohokare","xhariep","27.08167","-30.30455",29,2,51,4,1,0,49,39,0,16,20,2,6,7,62,2,12,18,11,8,3,5,0,19,1,10,0,7,64,3,3,0
"2021/2022","zastron","mohokare","xhariep","27.08167","-30.30455",50,2,53,5,3,0,38,32,0,7,28,2,6,4,23,1,12,26,3,18,4,4,0,16,2,23,0,1,78,1,2,1
"2022/2023","zastron","mohokare","xhariep","27.08167","-30.30455",54,2,83,3,3,0,26,56,0,10,47,5,6,5,21,1,21,26,6,18,5,4,0,15,5,26,0,3,69,4,8,0
"2008/2009","zebediela","lepele-nkumpi","capricorn","29.24406","-24.29829",78,3,105,4,1,0,68,65,2,6,27,29,7,8,9,3,1,35,12,31,8,4,0,27,0,33,0,0,10,9,9,2
"2009/2010","zebediela","lepele-nkumpi","capricorn","29.24406","-24.29829",91,3,72,2,2,0,51,61,8,2,33,20,8,36,28,4,1,24,4,30,5,13,0,30,0,36,0,0,4,4,4,0
"2010/2011","zebediela","lepele-nkumpi","capricorn","29.24406","-24.29829",113,1,59,6,1,0,46,63,0,1,27,16,6,10,41,4,1,20,6,36,9,2,0,23,0,37,0,0,9,5,3,0
"2011/2012","zebediela","lepele-nkumpi","capricorn","29.24406","-24.29829",102,0,114,3,3,0,28,84,0,5,37,23,6,14,87,1,1,36,5,44,9,12,0,23,1,48,1,0,19,8,8,0
"2012/2013","zebediela","lepele-nkumpi","capricorn","29.24406","-24.29829",78,2,93,4,6,0,41,65,1,4,26,22,7,18,164,6,1,38,6,42,16,10,0,29,2,51,0,4,24,6,14,0
"2013/2014","zebediela","lepele-nkumpi","capricorn","29.24406","-24.29829",85,1,80,2,0,0,47,98,1,3,30,12,6,12,197,7,13,40,5,29,11,9,0,28,1,30,0,2,10,5,5,0
"2014/2015","zebediela","lepele-nkumpi","capricorn","29.24406","-24.29829",116,0,63,4,1,0,43,91,1,4,29,17,6,5,238,4,21,41,4,37,13,6,0,26,1,39,1,0,14,2,10,1
"2015/2016","zebediela","lepele-nkumpi","capricorn","29.24406","-24.29829",232,4,81,4,1,0,69,109,4,1,35,19,6,5,272,4,13,52,7,39,14,20,0,51,1,41,0,0,16,7,17,0
"2016/2017","zebediela","lepele-nkumpi","capricorn","29.24406","-24.29829",291,4,95,3,2,0,40,128,4,4,41,27,6,3,297,2,12,47,10,35,19,7,0,47,0,37,0,1,23,7,12,0
"2017/2018","zebediela","lepele-nkumpi","capricorn","29.24406","-24.29829",235,3,92,6,3,0,39,124,4,7,40,18,6,9,413,3,13,75,10,25,19,7,0,47,1,29,0,2,37,2,9,1
"2018/2019","zebediela","lepele-nkumpi","capricorn","29.24406","-24.29829",252,1,138,7,1,0,53,127,3,4,52,33,7,6,322,9,13,75,6,31,29,6,0,56,0,33,0,20,42,5,11,0
"2019/2020","zebediela","lepele-nkumpi","capricorn","29.24406","-24.29829",261,4,177,4,0,0,63,193,4,12,73,56,6,77,273,11,12,60,13,42,31,11,0,73,1,43,0,53,48,3,21,1
"2020/2021","zebediela","lepele-nkumpi","capricorn","29.24406","-24.29829",228,3,157,7,3,0,70,171,1,24,88,29,6,9,121,3,17,82,11,40,18,16,0,57,4,47,0,25,34,10,22,0
"2021/2022","zebediela","lepele-nkumpi","capricorn","29.24406","-24.29829",51,0,2,4,0,0,5,3,1,0,4,0,6,1,12,0,13,7,2,1,2,3,0,11,0,1,0,0,14,2,1,0
"2022/2023","zebediela","lepele-nkumpi","capricorn","29.24406","-24.29829",54,0,7,0,0,0,3,7,1,1,4,2,6,2,25,0,13,8,1,0,2,3,0,14,1,1,0,0,15,0,0,0
"2008/2009","zeerust","ramotshere moiloa","ngaka modiri molema","26.07897","-25.53974",280,0,112,3,2,0,83,85,2,72,192,38,8,37,56,2,1,88,6,28,9,6,0,36,2,36,0,124,28,13,53,1
"2009/2010","zeerust","ramotshere moiloa","ngaka modiri molema","26.07897","-25.53974",215,4,121,6,6,0,67,103,1,84,126,39,10,86,89,6,1,70,3,21,5,2,0,21,9,42,0,104,31,12,53,3
"2010/2011","zeerust","ramotshere moiloa","ngaka modiri molema","26.07897","-25.53974",273,8,116,4,6,0,82,99,1,50,154,47,5,71,95,2,1,61,7,34,5,2,0,14,5,48,0,93,20,8,75,2
"2011/2012","zeerust","ramotshere moiloa","ngaka modiri molema","26.07897","-25.53974",256,6,100,5,11,0,86,68,0,46,120,42,4,52,90,0,1,69,8,42,13,6,0,28,13,68,0,90,30,10,66,1
"2012/2013","zeerust","ramotshere moiloa","ngaka modiri molema","26.07897","-25.53974",168,5,111,2,3,0,77,91,0,46,96,25,4,57,78,2,1,41,6,25,22,10,0,44,6,36,0,87,32,17,56,0
"2013/2014","zeerust","ramotshere moiloa","ngaka modiri molema","26.07897","-25.53974",166,8,63,5,7,0,76,89,1,33,100,14,5,39,100,5,21,47,5,32,10,12,0,33,3,45,0,83,22,7,61,0
"2014/2015","zeerust","ramotshere moiloa","ngaka modiri molema","26.07897","-25.53974",145,2,40,3,1,0,42,101,2,43,78,18,7,21,102,4,22,39,9,28,4,8,0,26,0,30,0,81,23,12,51,0
"2015/2016","zeerust","ramotshere moiloa","ngaka modiri molema","26.07897","-25.53974",164,2,44,8,0,0,140,162,0,43,105,14,4,20,94,11,13,41,8,28,20,5,0,36,3,33,0,59,19,13,75,1
"2016/2017","zeerust","ramotshere moiloa","ngaka modiri molema","26.07897","-25.53974",151,3,45,4,5,0,174,165,1,48,89,25,6,30,94,8,12,38,3,31,25,8,0,47,0,36,0,38,17,26,58,0
"2017/2018","zeerust","ramotshere moiloa","ngaka modiri molema","26.07897","-25.53974",117,1,39,6,2,0,103,141,2,52,105,33,4,34,102,11,21,30,5,27,20,9,0,41,2,33,0,43,32,4,48,1
"2018/2019","zeerust","ramotshere moiloa","ngaka modiri molema","26.07897","-25.53974",110,5,29,2,3,0,100,164,9,66,139,18,6,26,70,16,23,44,6,24,7,7,0,42,4,31,0,70,23,18,53,1
"2019/2020","zeerust","ramotshere moiloa","ngaka modiri molema","26.07897","-25.53974",145,4,42,2,0,0,111,146,2,46,112,24,8,28,26,0,23,40,2,35,15,9,0,53,2,41,0,51,26,11,41,1
"2020/2021","zeerust","ramotshere moiloa","ngaka modiri molema","26.07897","-25.53974",101,1,51,4,3,0,123,110,0,51,103,15,11,19,45,3,24,37,5,33,15,12,1,39,13,57,0,35,13,4,40,1
"2021/2022","zeerust","ramotshere moiloa","ngaka modiri molema","26.07897","-25.53974",111,3,90,5,1,0,107,174,2,93,67,11,6,17,46,0,25,44,8,39,19,11,1,59,2,42,0,41,27,4,27,0
"2022/2023","zeerust","ramotshere moiloa","ngaka modiri molema","26.07897","-25.53974",120,7,84,5,2,0,97,98,3,104,85,29,6,18,46,5,26,42,7,36,16,7,0,51,6,44,0,47,22,7,38,0
"2008/2009","zele","buffalo city","buffalo city","27.37591","-32.77056",69,5,175,4,1,0,10,129,3,3,56,20,6,4,8,3,1,51,14,48,2,1,0,27,7,56,0,0,25,4,4,0
"2009/2010","zele","buffalo city","buffalo city","27.37591","-32.77056",75,7,206,4,4,0,10,105,0,0,59,16,4,3,4,0,1,49,10,48,2,3,0,19,10,64,0,0,41,3,7,1
"2010/2011","zele","buffalo city","buffalo city","27.37591","-32.77056",98,4,227,6,0,0,12,113,0,1,61,29,6,5,1,1,1,67,14,46,9,4,0,24,7,53,0,0,24,9,8,0
"2011/2012","zele","buffalo city","buffalo city","27.37591","-32.77056",113,9,243,5,1,0,13,131,1,0,55,29,4,5,12,0,1,70,18,51,8,10,0,36,8,62,0,0,38,6,8,0
"2012/2013","zele","buffalo city","buffalo city","27.37591","-32.77056",84,0,223,2,1,0,17,94,1,1,59,27,7,5,12,3,1,46,16,47,6,9,0,43,1,50,0,0,31,2,11,0
"2013/2014","zele","buffalo city","buffalo city","27.37591","-32.77056",106,3,203,2,2,0,15,136,0,0,73,14,6,4,6,4,13,82,15,58,26,24,0,80,6,66,0,0,50,4,14,0
"2014/2015","zele","buffalo city","buffalo city","27.37591","-32.77056",85,2,168,3,2,0,32,124,1,0,35,24,7,6,19,7,12,54,20,50,22,18,0,89,8,61,0,0,37,5,13,0
"2015/2016","zele","buffalo city","buffalo city","27.37591","-32.77056",57,0,154,2,3,0,18,118,0,2,35,10,6,4,16,7,13,69,11,44,5,11,0,53,6,53,0,0,45,1,11,0
"2016/2017","zele","buffalo city","buffalo city","27.37591","-32.77056",106,1,140,5,1,0,23,99,3,0,50,9,4,1,8,2,13,82,15,41,6,7,0,28,7,51,0,0,33,0,7,0
"2017/2018","zele","buffalo city","buffalo city","27.37591","-32.77056",78,2,163,4,4,0,15,121,1,2,46,21,7,3,7,2,12,64,12,33,10,7,0,30,7,45,0,0,39,1,14,0
"2018/2019","zele","buffalo city","buffalo city","27.37591","-32.77056",94,2,171,4,1,0,14,148,0,3,42,18,7,3,8,1,13,58,15,58,9,8,0,39,5,65,0,0,60,4,4,0
"2019/2020","zele","buffalo city","buffalo city","27.37591","-32.77056",83,0,153,8,3,0,18,136,3,1,53,22,6,3,2,0,13,76,22,45,10,7,0,42,4,52,0,0,39,3,7,0
"2020/2021","zele","buffalo city","buffalo city","27.37591","-32.77056",90,1,116,1,2,0,16,105,2,4,51,13,6,2,8,2,12,61,16,40,5,6,0,31,6,48,0,0,51,1,7,0
"2021/2022","zele","buffalo city","buffalo city","27.37591","-32.77056",120,4,142,2,4,0,18,90,0,4,32,14,6,4,7,4,23,67,14,51,4,8,0,16,4,59,0,0,30,3,3,0
"2022/2023","zele","buffalo city","buffalo city","27.37591","-32.77056",100,6,160,5,9,0,30,151,1,2,42,12,7,0,8,1,12,78,18,26,4,9,0,29,10,46,0,0,68,7,6,0
"2008/2009","zonkizizwe","ekurhuleni","ekurhuleni","28.17933","-26.40597",124,5,200,13,6,0,21,106,15,6,102,41,10,6,7,18,1,67,20,49,6,10,0,109,1,62,0,0,1,19,21,28
"2009/2010","zonkizizwe","ekurhuleni","ekurhuleni","28.17933","-26.40597",169,4,192,14,8,0,20,133,9,13,120,45,10,24,6,11,1,76,17,82,8,8,0,87,1,97,0,0,4,14,15,27
"2010/2011","zonkizizwe","ekurhuleni","ekurhuleni","28.17933","-26.40597",126,6,189,21,9,0,22,126,8,9,104,33,4,23,12,17,1,72,10,35,11,18,0,76,1,47,0,0,5,26,27,17
"2011/2012","zonkizizwe","ekurhuleni","ekurhuleni","28.17933","-26.40597",125,8,169,17,3,0,19,128,4,19,66,26,6,11,23,21,1,54,11,42,10,11,0,49,1,46,0,0,0,17,22,9
"2012/2013","zonkizizwe","ekurhuleni","ekurhuleni","28.17933","-26.40597",145,7,192,12,6,0,7,106,1,10,47,30,4,11,31,11,1,67,15,39,15,7,0,54,2,49,0,1,2,25,46,14
"2013/2014","zonkizizwe","ekurhuleni","ekurhuleni","28.17933","-26.40597",143,8,196,16,2,0,23,112,11,7,55,15,7,14,113,21,21,77,16,33,31,7,0,99,3,39,1,0,5,42,29,26
"2014/2015","zonkizizwe","ekurhuleni","ekurhuleni","28.17933","-26.40597",124,5,182,7,3,0,19,128,11,2,53,20,7,6,54,6,17,51,21,49,20,9,0,85,2,55,0,0,1,14,46,23
"2015/2016","zonkizizwe","ekurhuleni","ekurhuleni","28.17933","-26.40597",116,10,184,21,2,0,19,99,9,9,49,11,7,17,73,11,21,85,17,29,22,2,0,63,2,34,1,0,4,10,38,9
"2016/2017","zonkizizwe","ekurhuleni","ekurhuleni","28.17933","-26.40597",98,2,156,24,3,0,17,105,15,11,68,11,6,9,89,10,23,80,22,37,15,12,0,92,4,44,1,0,5,17,26,17
"2017/2018","zonkizizwe","ekurhuleni","ekurhuleni","28.17933","-26.40597",90,5,144,22,3,0,15,74,15,11,67,17,6,15,105,13,23,57,29,40,19,17,0,86,3,46,0,3,5,22,47,16
"2018/2019","zonkizizwe","ekurhuleni","ekurhuleni","28.17933","-26.40597",96,5,196,25,2,0,21,59,39,16,113,19,6,27,60,15,14,76,27,38,22,17,0,126,6,46,1,1,7,36,33,6
"2019/2020","zonkizizwe","ekurhuleni","ekurhuleni","28.17933","-26.40597",127,0,200,31,1,0,21,76,34,10,108,20,4,45,15,23,23,74,12,36,14,37,0,126,3,42,1,1,8,23,28,6
"2020/2021","zonkizizwe","ekurhuleni","ekurhuleni","28.17933","-26.40597",103,5,209,15,3,0,31,64,35,21,117,17,7,18,19,11,17,76,16,41,9,26,0,110,10,55,0,0,9,16,19,9
"2021/2022","zonkizizwe","ekurhuleni","ekurhuleni","28.17933","-26.40597",106,4,200,20,3,0,21,56,36,22,91,20,6,63,34,3,17,94,27,42,8,19,0,104,6,51,0,1,4,16,20,5
