Station,Crime_Category,Incidents,Year
Actonville,Other serious Crime,134,2025/2026
Actonville,Property-related Crime,118,2025/2026
Actonville,Public violence,1,2025/2026
Actonville,Rape,31,2025/2026
Actonville,Robbery at non-residential premises,10,2025/2026
Actonville,Robbery at residential premises,15,2025/2026
Actonville,Robbery of cash in transit,0,2025/2026
Actonville,Robbery with aggravating circumstances,87,2025/2026
Actonville,Sexual assault,3,2025/2026
Actonville,Sexual offences,36,2025/2026
Actonville,Sexual offences detected as a result of police action,1,2025/2026
Actonville,Shoplifting,15,2025/2026
Actonville,Stock-theft,0,2025/2026
Actonville,TRIO Crime,55,2025/2026
Actonville,Theft of motor vehicle and motorcycle,17,2025/2026
Actonville,Theft out of or from motor vehicle,27,2025/2026
Actonville,Truck hijacking,1,2025/2026
Addo,17 Community reported serious Crime,757,2025/2026
Addo,Abduction,0,2025/2026
Addo,All theft not mentioned elsewhere,126,2025/2026
Addo,Arson,2,2025/2026
Addo,Assault with the intent to inflict grievous bodily harm,150,2025/2026
Addo,Attempted murder,17,2025/2026
Addo,Attempted sexual offences,4,2025/2026
Addo,Bank robbery,0,2025/2026
Addo,Burglary at non-residential premises,63,2025/2026
Addo,Burglary at residential premises,81,2025/2026
Addo,Carjacking,0,2025/2026
Addo,Commercial crime,27,2025/2026
Addo,Common assault,98,2025/2026
Addo,Common robbery,19,2025/2026
Addo,Contact crime (Crimes against the person),359,2025/2026
Addo,Contact sexual offences,0,2025/2026
Addo,Contact-related Crime,68,2025/2026
Addo,Crime detected as a result of police action,102,2025/2026
Addo,Crimen injuria,10,2025/2026
Addo,Culpable homicide,4,2025/2026
Addo,Driving under the influence of alcohol or drugs,15,2025/2026
Addo,Drug-related crime,82,2025/2026
Addo,Illegal possession of firearms and ammunition,5,2025/2026
Addo,Kidnapping,3,2025/2026
Addo,Malicious damage to property,66,2025/2026
Addo,Murder,28,2025/2026
Addo,Neglect and ill-treatment of children,0,2025/2026
Addo,Other serious Crime,161,2025/2026
Addo,Property-related Crime,169,2025/2026
Addo,Public violence,0,2025/2026
Addo,Rape,24,2025/2026
Addo,Robbery at non-residential premises,2,2025/2026
Addo,Robbery at residential premises,2,2025/2026
Addo,Robbery of cash in transit,0,2025/2026
Addo,Robbery with aggravating circumstances,18,2025/2026
Addo,Sexual assault,1,2025/2026
Addo,Sexual offences,29,2025/2026
Addo,Sexual offences detected as a result of police action,0,2025/2026
Addo,Shoplifting,8,2025/2026
Addo,Stock-theft,5,2025/2026
Addo,TRIO Crime,4,2025/2026
Addo,Theft of motor vehicle and motorcycle,6,2025/2026
Addo,Theft out of or from motor vehicle,14,2025/2026
Addo,Truck hijacking,0,2025/2026
