Station,Crime_Category,Incidents,Year
Edenpark,Shoplifting,7,2025/2026
Edenpark,Stock-theft,0,2025/2026
Edenpark,TRIO Crime,178,2025/2026
Edenpark,Theft of motor vehicle and motorcycle,55,2025/2026
Edenpark,Theft out of or from motor vehicle,69,2025/2026
Edenpark,Truck hijacking,4,2025/2026
Edenvale,17 Community reported serious Crime,2072,2025/2026
Edenvale,Abduction,0,2025/2026
Edenvale,All theft not mentioned elsewhere,356,2025/2026
Edenvale,Arson,0,2025/2026
Edenvale,Assault with the intent to inflict grievous bodily harm,30,2025/2026
Edenvale,Attempted murder,8,2025/2026
Edenvale,Attempted sexual offences,0,2025/2026
Edenvale,Bank robbery,0,2025/2026
Edenvale,Burglary at non-residential premises,55,2025/2026
Edenvale,Burglary at residential premises,108,2025/2026
Edenvale,Carjacking,22,2025/2026
Edenvale,Commercial crime,708,2025/2026
Edenvale,Common assault,116,2025/2026
Edenvale,Common robbery,37,2025/2026
Edenvale,Contact crime (Crimes against the person),347,2025/2026
Edenvale,Contact sexual offences,0,2025/2026
Edenvale,Contact-related Crime,107,2025/2026
Edenvale,Crime detected as a result of police action,602,2025/2026
Edenvale,Crimen injuria,97,2025/2026
Edenvale,Culpable homicide,2,2025/2026
Edenvale,Driving under the influence of alcohol or drugs,370,2025/2026
Edenvale,Drug-related crime,221,2025/2026
Edenvale,Illegal possession of firearms and ammunition,11,2025/2026
Edenvale,Kidnapping,18,2025/2026
Edenvale,Malicious damage to property,107,2025/2026
Edenvale,Murder,5,2025/2026
Edenvale,Neglect and ill-treatment of children,3,2025/2026
Edenvale,Other serious Crime,1178,2025/2026
Edenvale,Property-related Crime,440,2025/2026
Edenvale,Public violence,0,2025/2026
Edenvale,Rape,13,2025/2026
Edenvale,Robbery at non-residential premises,22,2025/2026
Edenvale,Robbery at residential premises,34,2025/2026
Edenvale,Robbery of cash in transit,0,2025/2026
Edenvale,Robbery with aggravating circumstances,131,2025/2026
Edenvale,Sexual assault,7,2025/2026
Edenvale,Sexual offences,20,2025/2026
Edenvale,Sexual offences detected as a result of police action,0,2025/2026
Edenvale,Shoplifting,114,2025/2026
Edenvale,Stock-theft,0,2025/2026
Edenvale,TRIO Crime,78,2025/2026
Edenvale,Theft of motor vehicle and motorcycle,114,2025/2026
Edenvale,Theft out of or from motor vehicle,163,2025/2026
Edenvale,Truck hijacking,6,2025/2026
Edenville,17 Community reported serious Crime,157,2025/2026
Edenville,Abduction,0,2025/2026
Edenville,All theft not mentioned elsewhere,18,2025/2026
Edenville,Arson,1,2025/2026
Edenville,Assault with the intent to inflict grievous bodily harm,19,2025/2026
Edenville,Attempted murder,0,2025/2026
Edenville,Attempted sexual offences,1,2025/2026
Edenville,Bank robbery,0,2025/2026
Edenville,Burglary at non-residential premises,4,2025/2026
Edenville,Burglary at residential premises,30,2025/2026
Edenville,Carjacking,0,2025/2026
Edenville,Commercial crime,6,2025/2026
Edenville,Common assault,55,2025/2026
Edenville,Common robbery,2,2025/2026
Edenville,Contact crime (Crimes against the person),86,2025/2026
Edenville,Contact sexual offences,0,2025/2026
Edenville,Contact-related Crime,4,2025/2026
Edenville,Crime detected as a result of police action,9,2025/2026
Edenville,Crimen injuria,16,2025/2026
Edenville,Culpable homicide,1,2025/2026
Edenville,Driving under the influence of alcohol or drugs,2,2025/2026
Edenville,Drug-related crime,7,2025/2026
Edenville,Illegal possession of firearms and ammunition,0,2025/2026
Edenville,Kidnapping,0,2025/2026
Edenville,Malicious damage to property,3,2025/2026
Edenville,Murder,2,2025/2026
Edenville,Neglect and ill-treatment of children,0,2025/2026
Edenville,Other serious Crime,24,2025/2026
Edenville,Property-related Crime,43,2025/2026
Edenville,Public violence,0,2025/2026
Edenville,Rape,4,2025/2026
Edenville,Robbery at non-residential premises,0,2025/2026
Edenville,Robbery at residential premises,0,2025/2026
Edenville,Robbery of cash in transit,0,2025/2026
Edenville,Robbery with aggravating circumstances,0,2025/2026
Edenville,Sexual assault,3,2025/2026
Edenville,Sexual offences,8,2025/2026
Edenville,Sexual offences detected as a result of police action,0,2025/2026
Edenville,Shoplifting,0,2025/2026
Edenville,Stock-theft,6,2025/2026
Edenville,TRIO Crime,0,2025/2026
Edenville,Theft of motor vehicle and motorcycle,0,2025/2026
Edenville,Theft out of or from motor vehicle,3,2025/2026
Edenville,Truck hijacking,0,2025/2026
Eendekuil,17 Community reported serious Crime,75,2025/2026
Eendekuil,Abduction,0,2025/2026
Eendekuil,All theft not mentioned elsewhere,10,2025/2026
Eendekuil,Arson,0,2025/2026
Eendekuil,Assault with the intent to inflict grievous bodily harm,12,2025/2026
Eendekuil,Attempted murder,0,2025/2026
Eendekuil,Attempted sexual offences,0,2025/2026
Eendekuil,Bank robbery,0,2025/2026
Eendekuil,Burglary at non-residential premises,1,2025/2026
Eendekuil,Burglary at residential premises,6,2025/2026
Eendekuil,Carjacking,0,2025/2026
Eendekuil,Commercial crime,8,2025/2026
Eendekuil,Common assault,25,2025/2026
Eendekuil,Common robbery,0,2025/2026
Eendekuil,Contact crime (Crimes against the person),43,2025/2026
Eendekuil,Contact sexual offences,0,2025/2026
Eendekuil,Contact-related Crime,5,2025/2026
Eendekuil,Crime detected as a result of police action,159,2025/2026
Eendekuil,Crimen injuria,2,2025/2026
Eendekuil,Culpable homicide,2,2025/2026
Eendekuil,Driving under the influence of alcohol or drugs,11,2025/2026
Eendekuil,Drug-related crime,144,2025/2026
Eendekuil,Illegal possession of firearms and ammunition,4,2025/2026
Eendekuil,Kidnapping,0,2025/2026
Eendekuil,Malicious damage to property,5,2025/2026
Eendekuil,Murder,1,2025/2026
Eendekuil,Neglect and ill-treatment of children,0,2025/2026
Eendekuil,Other serious Crime,18,2025/2026
Eendekuil,Property-related Crime,9,2025/2026
Eendekuil,Public violence,0,2025/2026
Eendekuil,Rape,3,2025/2026
Eendekuil,Robbery at non-residential premises,0,2025/2026
Eendekuil,Robbery at residential premises,0,2025/2026
Eendekuil,Robbery of cash in transit,0,2025/2026
Eendekuil,Robbery with aggravating circumstances,0,2025/2026
Eendekuil,Sexual assault,2,2025/2026
Eendekuil,Sexual offences,5,2025/2026
Eendekuil,Sexual offences detected as a result of police action,0,2025/2026
Eendekuil,Shoplifting,0,2025/2026
Eendekuil,Stock-theft,1,2025/2026
Eendekuil,TRIO Crime,0,2025/2026
Eendekuil,Theft of motor vehicle and motorcycle,1,2025/2026
Eendekuil,Theft out of or from motor vehicle,0,2025/2026
Eendekuil,Truck hijacking,0,2025/2026
Eersterust,17 Community reported serious Crime,1400,2025/2026
Eersterust,Abduction,0,2025/2026
Eersterust,All theft not mentioned elsewhere,313,2025/2026
Eersterust,Arson,2,2025/2026
Eersterust,Assault with the intent to inflict grievous bodily harm,120,2025/2026
Eersterust,Attempted murder,8,2025/2026
Eersterust,Attempted sexual offences,0,2025/2026
Eersterust,Bank robbery,0,2025/2026
Eersterust,Burglary at non-residential premises,11,2025/2026
Eersterust,Burglary at residential premises,75,2025/2026
Eersterust,Carjacking,17,2025/2026
Eersterust,Commercial crime,63,2025/2026
Eersterust,Common assault,338,2025/2026
Eersterust,Common robbery,72,2025/2026
Eersterust,Contact crime (Crimes against the person),706,2025/2026
Eersterust,Contact sexual offences,0,2025/2026
Eersterust,Contact-related Crime,156,2025/2026
Eersterust,Crime detected as a result of police action,633,2025/2026
Eersterust,Crimen injuria,9,2025/2026
Eersterust,Culpable homicide,1,2025/2026
Eersterust,Driving under the influence of alcohol or drugs,30,2025/2026
Eersterust,Drug-related crime,557,2025/2026
Eersterust,Illegal possession of firearms and ammunition,16,2025/2026
Eersterust,Kidnapping,12,2025/2026
Eersterust,Malicious damage to property,154,2025/2026
Eersterust,Murder,10,2025/2026
Eersterust,Neglect and ill-treatment of children,1,2025/2026
Eersterust,Other serious Crime,377,2025/2026
Eersterust,Property-related Crime,161,2025/2026
Eersterust,Public violence,2,2025/2026
Eersterust,Rape,17,2025/2026
Eersterust,Robbery at non-residential premises,5,2025/2026
Eersterust,Robbery at residential premises,1,2025/2026
Eersterust,Robbery of cash in transit,0,2025/2026
Eersterust,Robbery with aggravating circumstances,136,2025/2026
Eersterust,Sexual assault,5,2025/2026
Eersterust,Sexual offences,22,2025/2026
Eersterust,Sexual offences detected as a result of police action,30,2025/2026
Eersterust,Shoplifting,1,2025/2026
Eersterust,Stock-theft,0,2025/2026
Eersterust,TRIO Crime,23,2025/2026
Eersterust,Theft of motor vehicle and motorcycle,9,2025/2026
Eersterust,Theft out of or from motor vehicle,66,2025/2026
Eersterust,Truck hijacking,0,2025/2026
Ekangala,17 Community reported serious Crime,796,2025/2026
Ekangala,Abduction,0,2025/2026
Ekangala,All theft not mentioned elsewhere,101,2025/2026
Ekangala,Arson,0,2025/2026
Ekangala,Assault with the intent to inflict grievous bodily harm,108,2025/2026
Ekangala,Attempted murder,23,2025/2026
Ekangala,Attempted sexual offences,0,2025/2026
Ekangala,Bank robbery,0,2025/2026
Ekangala,Burglary at non-residential premises,24,2025/2026
Ekangala,Burglary at residential premises,72,2025/2026
Ekangala,Carjacking,13,2025/2026
Ekangala,Commercial crime,46,2025/2026
Ekangala,Common assault,178,2025/2026
Ekangala,Common robbery,23,2025/2026
Ekangala,Contact crime (Crimes against the person),442,2025/2026
Ekangala,Contact sexual offences,0,2025/2026
Ekangala,Contact-related Crime,69,2025/2026
Ekangala,Crime detected as a result of police action,136,2025/2026
Ekangala,Crimen injuria,8,2025/2026
Ekangala,Culpable homicide,1,2025/2026
Ekangala,Driving under the influence of alcohol or drugs,79,2025/2026
Ekangala,Drug-related crime,49,2025/2026
Ekangala,Illegal possession of firearms and ammunition,8,2025/2026
Ekangala,Kidnapping,9,2025/2026
Ekangala,Malicious damage to property,69,2025/2026
Ekangala,Murder,4,2025/2026
Ekangala,Neglect and ill-treatment of children,0,2025/2026
Ekangala,Other serious Crime,163,2025/2026
Ekangala,Property-related Crime,122,2025/2026
Ekangala,Public violence,3,2025/2026
Ekangala,Rape,25,2025/2026
Ekangala,Robbery at non-residential premises,12,2025/2026
Ekangala,Robbery at residential premises,10,2025/2026
Ekangala,Robbery of cash in transit,1,2025/2026
Ekangala,Robbery with aggravating circumstances,76,2025/2026
Ekangala,Sexual assault,5,2025/2026
Ekangala,Sexual offences,30,2025/2026
Ekangala,Sexual offences detected as a result of police action,0,2025/2026
Ekangala,Shoplifting,16,2025/2026
Ekangala,Stock-theft,2,2025/2026
Ekangala,TRIO Crime,35,2025/2026
Ekangala,Theft of motor vehicle and motorcycle,3,2025/2026
Ekangala,Theft out of or from motor vehicle,21,2025/2026
Ekangala,Truck hijacking,3,2025/2026
Ekhephinit,17 Community reported serious Crime,123,2025/2026
Ekhephinit,Abduction,0,2025/2026
Ekhephinit,All theft not mentioned elsewhere,14,2025/2026
Ekhephinit,Arson,0,2025/2026
Ekhephinit,Assault with the intent to inflict grievous bodily harm,31,2025/2026
Ekhephinit,Attempted murder,0,2025/2026
Ekhephinit,Attempted sexual offences,0,2025/2026
Ekhephinit,Bank robbery,0,2025/2026
Ekhephinit,Burglary at non-residential premises,3,2025/2026
Ekhephinit,Burglary at residential premises,24,2025/2026
Ekhephinit,Carjacking,0,2025/2026
Ekhephinit,Commercial crime,10,2025/2026
Ekhephinit,Common assault,6,2025/2026
Ekhephinit,Common robbery,6,2025/2026
Ekhephinit,Contact crime (Crimes against the person),50,2025/2026
Ekhephinit,Contact sexual offences,0,2025/2026
Ekhephinit,Contact-related Crime,12,2025/2026
Ekhephinit,Crime detected as a result of police action,7,2025/2026
Ekhephinit,Crimen injuria,3,2025/2026
Ekhephinit,Culpable homicide,0,2025/2026
Ekhephinit,Driving under the influence of alcohol or drugs,0,2025/2026
Ekhephinit,Drug-related crime,7,2025/2026
Ekhephinit,Illegal possession of firearms and ammunition,0,2025/2026
Ekhephinit,Kidnapping,0,2025/2026
Ekhephinit,Malicious damage to property,12,2025/2026
Ekhephinit,Murder,0,2025/2026
Ekhephinit,Neglect and ill-treatment of children,0,2025/2026
Ekhephinit,Other serious Crime,25,2025/2026
Ekhephinit,Property-related Crime,36,2025/2026
Ekhephinit,Public violence,0,2025/2026
Ekhephinit,Rape,5,2025/2026
Ekhephinit,Robbery at non-residential premises,0,2025/2026
Ekhephinit,Robbery at residential premises,1,2025/2026
Ekhephinit,Robbery of cash in transit,0,2025/2026
Ekhephinit,Robbery with aggravating circumstances,2,2025/2026
Ekhephinit,Sexual assault,0,2025/2026
Ekhephinit,Sexual offences,5,2025/2026
Ekhephinit,Sexual offences detected as a result of police action,0,2025/2026
Ekhephinit,Shoplifting,1,2025/2026
Ekhephinit,Stock-theft,7,2025/2026
Ekhephinit,TRIO Crime,1,2025/2026
Ekhephinit,Theft of motor vehicle and motorcycle,0,2025/2026
Ekhephinit,Theft out of or from motor vehicle,2,2025/2026
Ekhephinit,Truck hijacking,0,2025/2026
Ekombe,17 Community reported serious Crime,355,2025/2026
Ekombe,Abduction,0,2025/2026
Ekombe,All theft not mentioned elsewhere,36,2025/2026
Ekombe,Arson,4,2025/2026
Ekombe,Assault with the intent to inflict grievous bodily harm,98,2025/2026
Ekombe,Attempted murder,17,2025/2026
Ekombe,Attempted sexual offences,2,2025/2026
Ekombe,Bank robbery,0,2025/2026
Ekombe,Burglary at non-residential premises,12,2025/2026
Ekombe,Burglary at residential premises,17,2025/2026
Ekombe,Carjacking,1,2025/2026
Ekombe,Commercial crime,7,2025/2026
Ekombe,Common assault,16,2025/2026
Ekombe,Common robbery,4,2025/2026
Ekombe,Contact crime (Crimes against the person),234,2025/2026
Ekombe,Contact sexual offences,0,2025/2026
Ekombe,Contact-related Crime,27,2025/2026
Ekombe,Crime detected as a result of police action,32,2025/2026
Ekombe,Crimen injuria,2,2025/2026
Ekombe,Culpable homicide,6,2025/2026
Ekombe,Driving under the influence of alcohol or drugs,0,2025/2026
Ekombe,Drug-related crime,2,2025/2026
Ekombe,Illegal possession of firearms and ammunition,30,2025/2026
Ekombe,Kidnapping,8,2025/2026
Ekombe,Malicious damage to property,23,2025/2026
Ekombe,Murder,33,2025/2026
Ekombe,Neglect and ill-treatment of children,0,2025/2026
Ekombe,Other serious Crime,43,2025/2026
Ekombe,Property-related Crime,51,2025/2026
Ekombe,Public violence,1,2025/2026
Ekombe,Rape,41,2025/2026
Ekombe,Robbery at non-residential premises,1,2025/2026
Ekombe,Robbery at residential premises,13,2025/2026
Ekombe,Robbery of cash in transit,0,2025/2026
Ekombe,Robbery with aggravating circumstances,21,2025/2026
Ekombe,Sexual assault,2,2025/2026
Ekombe,Sexual offences,45,2025/2026
Ekombe,Sexual offences detected as a result of police action,0,2025/2026
Ekombe,Shoplifting,0,2025/2026
Ekombe,Stock-theft,19,2025/2026
Ekombe,TRIO Crime,15,2025/2026
Ekombe,Theft of motor vehicle and motorcycle,1,2025/2026
Ekombe,Theft out of or from motor vehicle,2,2025/2026
Ekombe,Truck hijacking,0,2025/2026
Ekulindeni,17 Community reported serious Crime,62,2025/2026
Ekulindeni,Abduction,0,2025/2026
Ekulindeni,All theft not mentioned elsewhere,6,2025/2026
Ekulindeni,Arson,0,2025/2026
Ekulindeni,Assault with the intent to inflict grievous bodily harm,23,2025/2026
Ekulindeni,Attempted murder,2,2025/2026
Ekulindeni,Attempted sexual offences,0,2025/2026
Ekulindeni,Bank robbery,0,2025/2026
Ekulindeni,Burglary at non-residential premises,1,2025/2026
Ekulindeni,Burglary at residential premises,8,2025/2026
Ekulindeni,Carjacking,0,2025/2026
Ekulindeni,Commercial crime,3,2025/2026
Ekulindeni,Common assault,1,2025/2026
Ekulindeni,Common robbery,1,2025/2026
Ekulindeni,Contact crime (Crimes against the person),36,2025/2026
Ekulindeni,Contact sexual offences,0,2025/2026
Ekulindeni,Contact-related Crime,2,2025/2026
Ekulindeni,Crime detected as a result of police action,21,2025/2026
Ekulindeni,Crimen injuria,0,2025/2026
Ekulindeni,Culpable homicide,0,2025/2026
Ekulindeni,Driving under the influence of alcohol or drugs,2,2025/2026
Ekulindeni,Drug-related crime,18,2025/2026
Ekulindeni,Illegal possession of firearms and ammunition,1,2025/2026
Ekulindeni,Kidnapping,0,2025/2026
Ekulindeni,Malicious damage to property,2,2025/2026
Ekulindeni,Murder,3,2025/2026
Ekulindeni,Neglect and ill-treatment of children,0,2025/2026
Ekulindeni,Other serious Crime,9,2025/2026
Ekulindeni,Property-related Crime,15,2025/2026
Ekulindeni,Public violence,0,2025/2026
Ekulindeni,Rape,3,2025/2026
Ekulindeni,Robbery at non-residential premises,0,2025/2026
Ekulindeni,Robbery at residential premises,1,2025/2026
Ekulindeni,Robbery of cash in transit,0,2025/2026
Ekulindeni,Robbery with aggravating circumstances,1,2025/2026
Ekulindeni,Sexual assault,2,2025/2026
Ekulindeni,Sexual offences,5,2025/2026
Ekulindeni,Sexual offences detected as a result of police action,0,2025/2026
Ekulindeni,Shoplifting,0,2025/2026
Ekulindeni,Stock-theft,6,2025/2026
Ekulindeni,TRIO Crime,1,2025/2026
Ekulindeni,Theft of motor vehicle and motorcycle,0,2025/2026
Ekulindeni,Theft out of or from motor vehicle,0,2025/2026
Ekulindeni,Truck hijacking,0,2025/2026
Ekuvukeni,17 Community reported serious Crime,914,2025/2026
Ekuvukeni,Abduction,1,2025/2026
Ekuvukeni,All theft not mentioned elsewhere,77,2025/2026
Ekuvukeni,Arson,2,2025/2026
Ekuvukeni,Assault with the intent to inflict grievous bodily harm,225,2025/2026
Ekuvukeni,Attempted murder,15,2025/2026
Ekuvukeni,Attempted sexual offences,1,2025/2026
Ekuvukeni,Bank robbery,0,2025/2026
Ekuvukeni,Burglary at non-residential premises,47,2025/2026
Ekuvukeni,Burglary at residential premises,75,2025/2026
Ekuvukeni,Carjacking,0,2025/2026
Ekuvukeni,Commercial crime,35,2025/2026
Ekuvukeni,Common assault,96,2025/2026
Ekuvukeni,Common robbery,18,2025/2026
Ekuvukeni,Contact crime (Crimes against the person),534,2025/2026
Ekuvukeni,Contact sexual offences,1,2025/2026
Ekuvukeni,Contact-related Crime,68,2025/2026
Ekuvukeni,Crime detected as a result of police action,63,2025/2026
Ekuvukeni,Crimen injuria,20,2025/2026
Ekuvukeni,Culpable homicide,10,2025/2026
Ekuvukeni,Driving under the influence of alcohol or drugs,7,2025/2026
Ekuvukeni,Drug-related crime,19,2025/2026
Ekuvukeni,Illegal possession of firearms and ammunition,37,2025/2026
Ekuvukeni,Kidnapping,2,2025/2026
Ekuvukeni,Malicious damage to property,66,2025/2026
Ekuvukeni,Murder,29,2025/2026
Ekuvukeni,Neglect and ill-treatment of children,2,2025/2026
Ekuvukeni,Other serious Crime,139,2025/2026
Ekuvukeni,Property-related Crime,173,2025/2026
Ekuvukeni,Public violence,0,2025/2026
Ekuvukeni,Rape,54,2025/2026
Ekuvukeni,Robbery at non-residential premises,15,2025/2026
Ekuvukeni,Robbery at residential premises,32,2025/2026
Ekuvukeni,Robbery of cash in transit,0,2025/2026
Ekuvukeni,Robbery with aggravating circumstances,89,2025/2026
Ekuvukeni,Sexual assault,6,2025/2026
Ekuvukeni,Sexual offences,62,2025/2026
Ekuvukeni,Sexual offences detected as a result of police action,0,2025/2026
Ekuvukeni,Shoplifting,27,2025/2026
Ekuvukeni,Stock-theft,39,2025/2026
Ekuvukeni,TRIO Crime,47,2025/2026
Ekuvukeni,Theft of motor vehicle and motorcycle,6,2025/2026
Ekuvukeni,Theft out of or from motor vehicle,6,2025/2026
Ekuvukeni,Truck hijacking,0,2025/2026
Elands Bay,17 Community reported serious Crime,87,2025/2026
Elands Bay,Abduction,0,2025/2026
Elands Bay,All theft not mentioned elsewhere,18,2025/2026
Elands Bay,Arson,0,2025/2026
Elands Bay,Assault with the intent to inflict grievous bodily harm,15,2025/2026
Elands Bay,Attempted murder,0,2025/2026
Elands Bay,Attempted sexual offences,0,2025/2026
Elands Bay,Bank robbery,0,2025/2026
Elands Bay,Burglary at non-residential premises,1,2025/2026
Elands Bay,Burglary at residential premises,4,2025/2026
Elands Bay,Carjacking,0,2025/2026
Elands Bay,Commercial crime,5,2025/2026
Elands Bay,Common assault,29,2025/2026
Elands Bay,Common robbery,1,2025/2026
Elands Bay,Contact crime (Crimes against the person),49,2025/2026
Elands Bay,Contact sexual offences,0,2025/2026
Elands Bay,Contact-related Crime,9,2025/2026
Elands Bay,Crime detected as a result of police action,83,2025/2026
Elands Bay,Crimen injuria,3,2025/2026
Elands Bay,Culpable homicide,0,2025/2026
Elands Bay,Driving under the influence of alcohol or drugs,1,2025/2026
Elands Bay,Drug-related crime,81,2025/2026
Elands Bay,Illegal possession of firearms and ammunition,1,2025/2026
Elands Bay,Kidnapping,0,2025/2026
Elands Bay,Malicious damage to property,9,2025/2026
Elands Bay,Murder,0,2025/2026
Elands Bay,Neglect and ill-treatment of children,1,2025/2026
Elands Bay,Other serious Crime,23,2025/2026
Elands Bay,Property-related Crime,6,2025/2026
Elands Bay,Public violence,0,2025/2026
Elands Bay,Rape,2,2025/2026
Elands Bay,Robbery at non-residential premises,0,2025/2026
Elands Bay,Robbery at residential premises,1,2025/2026
Elands Bay,Robbery of cash in transit,0,2025/2026
Elands Bay,Robbery with aggravating circumstances,1,2025/2026
Elands Bay,Sexual assault,1,2025/2026
Elands Bay,Sexual offences,3,2025/2026
Elands Bay,Sexual offences detected as a result of police action,0,2025/2026
Elands Bay,Shoplifting,0,2025/2026
Elands Bay,Stock-theft,1,2025/2026
Elands Bay,TRIO Crime,1,2025/2026
Elands Bay,Theft of motor vehicle and motorcycle,0,2025/2026
Elands Bay,Theft out of or from motor vehicle,0,2025/2026
Elands Bay,Truck hijacking,0,2025/2026
Elands Height,17 Community reported serious Crime,4,2025/2026
Elands Height,Abduction,0,2025/2026
Elands Height,All theft not mentioned elsewhere,0,2025/2026
Elands Height,Arson,0,2025/2026
Elands Height,Assault with the intent to inflict grievous bodily harm,2,2025/2026
Elands Height,Attempted murder,0,2025/2026
Elands Height,Attempted sexual offences,0,2025/2026
Elands Height,Bank robbery,0,2025/2026
Elands Height,Burglary at non-residential premises,0,2025/2026
Elands Height,Burglary at residential premises,1,2025/2026
Elands Height,Carjacking,0,2025/2026
Elands Height,Commercial crime,0,2025/2026
Elands Height,Common assault,0,2025/2026
Elands Height,Common robbery,0,2025/2026
Elands Height,Contact crime (Crimes against the person),2,2025/2026
Elands Height,Contact sexual offences,0,2025/2026
Elands Height,Contact-related Crime,1,2025/2026
Elands Height,Crime detected as a result of police action,0,2025/2026
Elands Height,Crimen injuria,0,2025/2026
Elands Height,Culpable homicide,0,2025/2026
Elands Height,Driving under the influence of alcohol or drugs,0,2025/2026
Elands Height,Drug-related crime,0,2025/2026
Elands Height,Illegal possession of firearms and ammunition,0,2025/2026
Elands Height,Kidnapping,0,2025/2026
Elands Height,Malicious damage to property,1,2025/2026
Elands Height,Murder,0,2025/2026
Elands Height,Neglect and ill-treatment of children,0,2025/2026
Elands Height,Other serious Crime,0,2025/2026
Elands Height,Property-related Crime,1,2025/2026
Elands Height,Public violence,0,2025/2026
Elands Height,Rape,0,2025/2026
Elands Height,Robbery at non-residential premises,0,2025/2026
Elands Height,Robbery at residential premises,0,2025/2026
Elands Height,Robbery of cash in transit,0,2025/2026
Elands Height,Robbery with aggravating circumstances,0,2025/2026
Elands Height,Sexual assault,0,2025/2026
Elands Height,Sexual offences,0,2025/2026
Elands Height,Sexual offences detected as a result of police action,0,2025/2026
Elands Height,Shoplifting,0,2025/2026
Elands Height,Stock-theft,0,2025/2026
Elands Height,TRIO Crime,0,2025/2026
Elands Height,Theft of motor vehicle and motorcycle,0,2025/2026
Elands Height,Theft out of or from motor vehicle,0,2025/2026
Elands Height,Truck hijacking,0,2025/2026
Elandskraal,17 Community reported serious Crime,315,2025/2026
Elandskraal,Abduction,0,2025/2026
Elandskraal,All theft not mentioned elsewhere,38,2025/2026
Elandskraal,Arson,0,2025/2026
Elandskraal,Assault with the intent to inflict grievous bodily harm,76,2025/2026
Elandskraal,Attempted murder,2,2025/2026
Elandskraal,Attempted sexual offences,1,2025/2026
Elandskraal,Bank robbery,0,2025/2026
Elandskraal,Burglary at non-residential premises,17,2025/2026
Elandskraal,Burglary at residential premises,46,2025/2026
Elandskraal,Carjacking,0,2025/2026
Elandskraal,Commercial crime,8,2025/2026
Elandskraal,Common assault,10,2025/2026
Elandskraal,Common robbery,11,2025/2026
Elandskraal,Contact crime (Crimes against the person),140,2025/2026
Elandskraal,Contact sexual offences,1,2025/2026
Elandskraal,Contact-related Crime,28,2025/2026
Elandskraal,Crime detected as a result of police action,68,2025/2026
Elandskraal,Crimen injuria,3,2025/2026
Elandskraal,Culpable homicide,1,2025/2026
Elandskraal,Driving under the influence of alcohol or drugs,13,2025/2026
Elandskraal,Drug-related crime,41,2025/2026
Elandskraal,Illegal possession of firearms and ammunition,8,2025/2026
Elandskraal,Kidnapping,3,2025/2026
Elandskraal,Malicious damage to property,28,2025/2026
Elandskraal,Murder,2,2025/2026
Elandskraal,Neglect and ill-treatment of children,0,2025/2026
Elandskraal,Other serious Crime,46,2025/2026
Elandskraal,Property-related Crime,101,2025/2026
Elandskraal,Public violence,0,2025/2026
Elandskraal,Rape,10,2025/2026
Elandskraal,Robbery at non-residential premises,2,2025/2026
Elandskraal,Robbery at residential premises,15,2025/2026
Elandskraal,Robbery of cash in transit,0,2025/2026
Elandskraal,Robbery with aggravating circumstances,25,2025/2026
Elandskraal,Sexual assault,2,2025/2026
Elandskraal,Sexual offences,14,2025/2026
Elandskraal,Sexual offences detected as a result of police action,6,2025/2026
Elandskraal,Shoplifting,0,2025/2026
Elandskraal,Stock-theft,24,2025/2026
Elandskraal,TRIO Crime,17,2025/2026
Elandskraal,Theft of motor vehicle and motorcycle,3,2025/2026
Elandskraal,Theft out of or from motor vehicle,11,2025/2026
Elandskraal,Truck hijacking,0,2025/2026
Elandslaagte,17 Community reported serious Crime,322,2025/2026
Elandslaagte,Abduction,1,2025/2026
Elandslaagte,All theft not mentioned elsewhere,51,2025/2026
Elandslaagte,Arson,0,2025/2026
Elandslaagte,Assault with the intent to inflict grievous bodily harm,44,2025/2026
Elandslaagte,Attempted murder,7,2025/2026
Elandslaagte,Attempted sexual offences,0,2025/2026
Elandslaagte,Bank robbery,0,2025/2026
Elandslaagte,Burglary at non-residential premises,23,2025/2026
Elandslaagte,Burglary at residential premises,27,2025/2026
Elandslaagte,Carjacking,0,2025/2026
Elandslaagte,Commercial crime,9,2025/2026
Elandslaagte,Common assault,61,2025/2026
Elandslaagte,Common robbery,4,2025/2026
Elandslaagte,Contact crime (Crimes against the person),154,2025/2026
Elandslaagte,Contact sexual offences,1,2025/2026
Elandslaagte,Contact-related Crime,19,2025/2026
Elandslaagte,Crime detected as a result of police action,59,2025/2026
Elandslaagte,Crimen injuria,14,2025/2026
Elandslaagte,Culpable homicide,3,2025/2026
Elandslaagte,Driving under the influence of alcohol or drugs,50,2025/2026
Elandslaagte,Drug-related crime,2,2025/2026
Elandslaagte,Illegal possession of firearms and ammunition,7,2025/2026
Elandslaagte,Kidnapping,2,2025/2026
Elandslaagte,Malicious damage to property,19,2025/2026
Elandslaagte,Murder,1,2025/2026
Elandslaagte,Neglect and ill-treatment of children,0,2025/2026
Elandslaagte,Other serious Crime,60,2025/2026
Elandslaagte,Property-related Crime,89,2025/2026
Elandslaagte,Public violence,0,2025/2026
Elandslaagte,Rape,18,2025/2026
Elandslaagte,Robbery at non-residential premises,1,2025/2026
Elandslaagte,Robbery at residential premises,3,2025/2026
Elandslaagte,Robbery of cash in transit,0,2025/2026
Elandslaagte,Robbery with aggravating circumstances,11,2025/2026
Elandslaagte,Sexual assault,7,2025/2026
Elandslaagte,Sexual offences,26,2025/2026
Elandslaagte,Sexual offences detected as a result of police action,0,2025/2026
